COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
10000001,01/03/2024,08:15,Brooklyn,M,Driver Inattention/Distraction,Sedan
10000002,01/04/2024,14:40,Manhattan,F,Failure to Yield Right-of-Way,SUV
10000003,01/05/2024,17:22,Queens,M,Unsafe Speed,Pick-up Truck
10000004,01/07/2024,22:10,Bronx,NaN,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
10000005,01/08/2024,09:05,Staten Island,M,Driver Inattention/Distraction,Sedan
10000006,01/10/2024,12:30,Brooklyn,F,Alcohol Involvement,Van
10000007,01/12/2024,18:45,Queens,M,Unsafe Lane Changing,Motorcycle
10000008,01/15/2024,07:55,Manhattan,F,Passenger Distraction,Sedan
10000009,01/16/2024,16:20,Bronx,M,Failure to Keep Right,SUV
10000010,01/18/2024,13:10,Brooklyn,NaN,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
10000011,01/20/2024,19:35,Queens,M,Unsafe Speed,Pick-up Truck
10000012,01/22/2024,10:40,Staten Island,F,Other Vehicular,Sedan
10000013,01/25/2024,15:15,Manhattan,M,Lost Consciousness,Bus
10000014,01/27/2024,08:50,Brooklyn,M,Driver Inattention/Distraction,SUV
10000015,01/29/2024,21:30,Queens,F,Failure to Yield Right-of-Way,Sedan
10000016,02/01/2024,17:05,Bronx,M,Unsafe Speed,Pick-up Truck
10000017,02/03/2024,11:20,Staten Island,NaN,Traffic Control Disregarded,Van
10000018,02/05/2024,14:55,Brooklyn,M,Driver Inattention/Distraction,Sedan
10000019,02/08/2024,09:30,Manhattan,F,Aggressive Driving/Road Rage,SUV
10000020,02/10/2024,18:10,Queens,M,Failure to Keep Right,Station Wagon/Sport Utility Vehicle
10000021,02/12/2024,07:45,Bronx,F,Unsafe Lane Changing,Sedan
10000022,02/15/2024,16:25,Staten Island,M,Driver Inattention/Distraction,Pick-up Truck
10000023,02/17/2024,20:50,Brooklyn,NaN,Alcohol Involvement,SUV
10000024,02/19/2024,13:15,Queens,M,Passenger Distraction,Sedan
10000025,02/21/2024,10:00,Manhattan,F,Unsafe Speed,Motorcycle
10000026,02/24/2024,22:30,Bronx,M,Failure to Yield Right-of-Way,Van
10000027,02/26/2024,08:20,Staten Island,F,Driver Inattention/Distraction,Sedan
10000028,02/28/2024,15:40,Brooklyn,M,Traffic Control Disregarded,SUV
10000029,03/02/2024,18:55,Queens,NaN,Unsafe Lane Changing,Pick-up Truck
10000030,03/04/2024,11:10,Manhattan,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
10000031,03/07/2024,07:30,Bronx,F,Failure to Keep Right,Sedan
10000032,03/09/2024,19:20,Staten Island,M,Alcohol Involvement,SUV
10000033,03/11/2024,14:45,Brooklyn,M,Unsafe Speed,Sedan
10000034,03/14/2024,09:15,Queens,F,Driver Inattention/Distraction,Van
