COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
1,01/03/2024,08:15,Bronx,M,Driver Inattention/Distraction,Sedan
2,01/05/2024,14:42,Brooklyn,F,Unsafe Speed,SUV
3,01/07/2024,17:30,Manhattan,M,Failure to Yield Right-of-Way,Pick-up Truck
4,01/10/2024,09:22,Queens,NaN,Following Too Closely,Station Wagon/Sport Utility Vehicle
5,01/12/2024,19:05,Staten Island,M,Driver Inattention/Distraction,Taxi
6,01/15/2024,11:48,Bronx,F,Turning Improperly,Van
7,01/18/2024,22:17,Queens,M,Unsafe Speed,Motorcycle
8,01/20/2024,07:55,Brooklyn,M,Traffic Control Disregarded,Sedan
9,01/23/2024,13:10,Manhattan,F,Passing or Lane Usage Improper,SUV
10,01/25/2024,18:40,Queens,NaN,Backing Unsafely,Pick-up Truck
11,01/28/2024,10:33,Bronx,M,Driver Inattention/Distraction,Box Truck
12,01/30/2024,16:22,Staten Island,F,Fatigued/Drowsy,Sedan
13,02/02/2024,20:58,Brooklyn,M,Alcohol Involvement,SUV
14,02/05/2024,08:47,Manhattan,M,Unsafe Speed,Taxi
15,02/08/2024,12:19,Queens,F,Failure to Yield Right-of-Way,Van
16,02/10/2024,21:35,Bronx,NaN,Driver Inattention/Distraction,Motorcycle
17,02/13/2024,09:11,Staten Island,M,Turning Improperly,Pick-up Truck
18,02/16/2024,15:44,Brooklyn,F,Unsafe Speed,Sedan
19,02/19/2024,19:22,Manhattan,M,Following Too Closely,SUV
20,02/21/2024,07:30,Queens,M,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
21,02/24/2024,14:05,Bronx,F,Driver Inattention/Distraction,Bus
22,02/27/2024,22:50,Staten Island,NaN,Passing or Lane Usage Improper,Taxi
23,03/01/2024,10:18,Brooklyn,M,Backing Unsafely,Sedan
24,03/04/2024,16:33,Manhattan,F,Unsafe Speed,SUV
25,03/07/2024,08:55,Queens,M,Failure to Yield Right-of-Way,Pick-up Truck
26,03/10/2024,13:47,Bronx,M,Driver Inattention/Distraction,Van
27,03/13/2024,19:12,Staten Island,F,Alcohol Involvement,Motorcycle
28,03/16/2024,11:29,Brooklyn,NaN,Turning Improperly,Sedan
29,03/19/2024,17:40,Manhattan,M,Fatigued/Drowsy,SUV
30,03/22/2024,20:15,Queens,F,Unsafe Speed,Taxi
31,03/25/2024,09:03,Bronx,M,Driver Inattention/Distraction,Box Truck
32,03/28/2024,15:22,Staten Island,M,Following Too Closely,Pick-up Truck
33,03/31/2024,21:58,Brooklyn,F,Traffic Control Disregarded,Sedan
34,04/03/2024,08:40,Manhattan,NaN,Backing Unsafely,SUV
35,04/06/2024,12:55,Queens,M,Unsafe Speed,Station Wagon/Sport Utility Vehicle
36,04/09/2024,18:30,Bronx,F,Driver Inattention/Distraction,Van
37,04/12/2024,10:17,Staten Island,M,Failure to Yield Right-of-Way,Motorcycle
38,04/15/2024,16:44,Brooklyn,M,Turning Improperly,Taxi
39,04/18/2024,22:10,Manhattan,F,Alcohol Involvement,Sedan
40,04/21/2024,07:25,Queens,NaN,Unsafe Speed,SUV
41,04/24/2024,13:50,Bronx,M,Driver Inattention/Distraction,Pick-up Truck
42,04/27/2024,19:35,Staten Island,F,Following Too Closely,Bus
43,04/30/2024,11:08,Brooklyn,M,Traffic Control Disregarded,Sedan
44,05/03/2024,17:22,Manhattan,M,Passing or Lane Usage Improper,SUV
45,05/06/2024,09:40,Queens,F,Backing Unsafely,Taxi
46,05/09/2024,14:15,Bronx,NaN,Driver Inattention/Distraction,Van
47,05/12/2024,20:48,Staten Island,M,Unsafe Speed,Motorcycle
48,05/15/2024,08:30,Brooklyn,F,Failure to Yield Right-of-Way,Sedan
49,05/18/2024,12:55,Manhattan,M,Turning Improperly,SUV
50,05/21/2024,18:20,Queens,M,Fatigued/Drowsy,Pick-up Truck
51,05/24/2024,10:10,Bronx,F,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
52,05/27/2024,16:33,Staten Island,NaN,Alcohol Involvement,Taxi
53,05/30/2024,21:45,Brooklyn,M,Unsafe Speed,Sedan
54,06/02/2024,07:50,Manhattan,F,Following Too Closely,SUV
55,06/05/2024,13:25,Queens,M,Traffic Control Disregarded,Van
56,06/08/2024,19:10,Bronx,M,Driver Inattention/Distraction,Motorcycle
57,06/11/2024,11:40,Staten Island,F,Backing Unsafely,Pick-up Truck
58,06/14/2024,17:55,Brooklyn,NaN,Unsafe Speed,Sedan
59,06/17/2024,22:30,Manhattan,M,Failure to Yield Right-of-Way,SUV
60,06/20/2024,09:15,Queens,F,Turning Improperly,Taxi
61,06/23/2024,15:40,Bronx,M,Driver Inattention/Distraction,Box Truck
62,06/26/2024,20:05,Staten Island,M,Alcohol Involvement,Sedan
63,06/29/2024,08:20,Brooklyn,F,Unsafe Speed,SUV
64,07/02/2024,14:50,Manhattan,NaN,Following Too Closely,Pick-up Truck
65,07/05/2024,19:25,Queens,M,Driver Inattention/Distraction,Van
66,07/08/2024,10:55,Bronx,F,Traffic Control Disregarded,Motorcycle
67,07/11/2024,16:30,Staten Island,M,Backing Unsafely,Sedan
68,07/14/2024,21:10,Brooklyn,M,Unsafe Speed,SUV
69,07/17/2024,07:45,Manhattan,F,Failure to Yield Right-of-Way,Taxi
70,07/20/2024,13:20,Queens,NaN,Turning Improperly,Station Wagon/Sport Utility Vehicle
71,07/23/2024,18:55,Bronx,M,Driver Inattention/Distraction,Pick-up Truck
