COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
1000001,01/15/2024,08:45,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000002,01/15/2024,14:20,Manhattan,F,Unsafe Speed,SUV
1000003,01/16/2024,17:10,Queens,M,Failure to Yield Right-of-Way,Pick-up Truck
1000004,01/17/2024,22:30,Bronx,NaN,Traffic Control Disregarded,Sedan
1000005,01/18/2024,09:15,Staten Island,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
1000006,01/19/2024,13:40,Brooklyn,F,Alcohol Involvement,Sedan
1000007,01/20/2024,18:55,Queens,M,Unsafe Lane Changing,Van
1000008,01/21/2024,07:30,Manhattan,M,Passenger Distraction,SUV
1000009,01/22/2024,12:10,Bronx,F,Driver Inattention/Distraction,Sedan
1000010,01/23/2024,16:25,Staten Island,M,Following Too Closely,Pick-up Truck
1000011,02/05/2024,10:50,Brooklyn,M,Unsafe Speed,SUV
1000012,02/06/2024,19:15,Queens,F,Lost Consciousness,Station Wagon/Sport Utility Vehicle
1000013,02/07/2024,08:20,Manhattan,M,Driver Inattention/Distraction,Sedan
1000014,02/08/2024,14:00,Bronx,M,Failure to Yield Right-of-Way,Pick-up Truck
1000015,02/09/2024,21:30,Staten Island,F,Traffic Control Disregarded,SUV
1000016,02/10/2024,11:45,Brooklyn,M,Unsafe Speed,Sedan
1000017,02/11/2024,15:10,Queens,M,Driver Inattention/Distraction,Van
1000018,02/12/2024,07:55,Manhattan,F,Passenger Distraction,SUV
1000019,02/13/2024,18:40,Bronx,M,Alcohol Involvement,Sedan
1000020,02/14/2024,09:30,Staten Island,M,Following Too Closely,Pick-up Truck
1000021,03/01/2024,16:20,Brooklyn,F,Unsafe Lane Changing,SUV
1000022,03/02/2024,08:10,Queens,M,Driver Inattention/Distraction,Sedan
1000023,03/03/2024,13:50,Manhattan,M,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
1000024,03/04/2024,20:15,Bronx,F,Traffic Control Disregarded,SUV
1000025,03/05/2024,10:40,Staten Island,M,Unsafe Speed,Pick-up Truck
1000026,03/20/2024,17:30,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000027,03/21/2024,07:45,Queens,F,Passenger Distraction,SUV
1000028,03/22/2024,12:25,Manhattan,M,Alcohol Involvement,Van
1000029,03/23/2024,19:00,Bronx,M,Following Too Closely,Sedan
1000030,03/24/2024,09:15,Staten Island,F,Unsafe Lane Changing,SUV
1000031,04/10/2024,14:50,Brooklyn,M,Driver Inattention/Distraction,Pick-up Truck
1000032,04/11/2024,08:30,Queens,M,Unsafe Speed,Sedan
1000033,04/12/2024,15:20,Manhattan,F,Failure to Yield Right-of-Way,SUV
1000034,04/13/2024,21:10,Bronx,M,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
1000035,04/14/2024,11:00,Staten Island,M,Driver Inattention/Distraction,Sedan
1000036,05/01/2024,18:40,Brooklyn,F,Passenger Distraction,SUV
1000037,05/02/2024,09:55,Queens,M,Alcohol Involvement,Pick-up Truck
1000038,05/03/2024,13:30,Manhattan,M,Unsafe Speed,Sedan
1000039,05/04/2024,16:45,Bronx,F,Following Too Closely,SUV
1000040,05/05/2024,07:20,Staten Island,M,Driver Inattention/Distraction,Van
1000041,01/10/2025,08:15,Brooklyn,M,Unsafe Lane Changing,Sedan
1000042,01/11/2025,14:30,Queens,F,Driver Inattention/Distraction,SUV
1000043,01/12/2025,17:50,Manhattan,M,Failure to Yield Right-of-Way,Pick-up Truck
1000044,01/13/2025,22:10,Bronx,NaN,Traffic Control Disregarded,Sedan
1000045,01/14/2025,09:40,Staten Island,M,Unsafe Speed,Station Wagon/Sport Utility Vehicle
1000046,01/15/2025,13:25,Brooklyn,F,Alcohol Involvement,SUV
1000047,01/16/2025,18:00,Queens,M,Driver Inattention/Distraction,Van
1000048,01/17/2025,07:50,Manhattan,M,Passenger Distraction,Sedan
1000049,01/18/2025,12:15,Bronx,F,Unsafe Speed,SUV
1000050,01/19/2025,16:35,Staten Island,M,Following Too Closely,Pick-up Truck
1000051,02/01/2025,10:20,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000052,02/02/2025,19:10,Queens,F,Lost Consciousness,SUV
1000053,02/03/2025,08:45,Manhattan,M,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle
1000054,02/04/2025,14:30,Bronx,M,Failure to Yield Right-of-Way,Sedan
1000055,02/05/2025,21:00,Staten Island,F,Traffic Control Disregarded,Pick-up Truck
1000056,02/20/2025,11:15,Brooklyn,M,Driver Inattention/Distraction,SUV
1000057,02/21/2025,15:40,Queens,M,Unsafe Speed,Van
1000058,02/22/2025,07:30,Manhattan,F,Passenger Distraction,Sedan
1000059,02/23/2025,18:20,Bronx,M,Alcohol Involvement,SUV
1000060,02/24/2025,09:50,Staten Island,M,Following Too Closely,Pick-up Truck
1000061,03/05/2025,16:10,Brooklyn,F,Unsafe Lane Changing,SUV
1000062,03/06/2025,08:25,Queens,M,Driver Inattention/Distraction,Sedan
1000063,03/07/2025,13:55,Manhattan,M,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
1000064,03/08/2025,20:30,Bronx,F,Traffic Control Disregarded,SUV
1000065,03/09/2025,10:00,Staten Island,M,Unsafe Speed,Pick-up Truck
1000066,03/25/2025,17:45,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000067,03/26/2025,07:40,Queens,F,Passenger Distraction,SUV
1000068,03/27/2025,12:10,Manhattan,M,Alcohol Involvement,Van
1000069,03/28/2025,19:15,Bronx,M,Following Too Closely,Sedan
1000070,03/29/2025,09:30,Staten Island,F,Unsafe Lane Changing,SUV
