ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2025-10-23,BLACK,M,ASSAULT
2,2024-03-03,BLACK,F,ASSAULT
3,2025-05-19,HISPANIC,M,BATTERY
4,2025-05-23,HISPANIC,F,THEFT
5,2024-05-17,WHITE,F,CRIMINAL DAMAGE
6,2025-09-19,BLACK,M,BURGLARY
7,2025-03-24,BLACK,M,BATTERY
8,2024-01-09,HISPANIC,F,ASSAULT
9,2024-08-29,BLACK,M,ROBBERY
10,2025-05-10,HISPANIC,F,WEAPONS VIOLATION
11,2025-12-23,BLACK,M,NARCOTICS
12,2024-04-05,BLACK,F,CRIMINAL DAMAGE
13,2025-10-21,BLACK,M,ASSAULT
14,2024-04-02,HISPANIC,F,BURGLARY
15,2024-06-14,BLACK,F,WEAPONS VIOLATION
16,2025-12-16,BLACK,F,THEFT
17,2025-06-30,WHITE,M,NARCOTICS
18,2025-09-23,BLACK,M,NARCOTICS
19,2024-04-05,BLACK,M,NARCOTICS
20,2024-08-09,BLACK,M,BURGLARY
21,2025-10-23,BLACK,M,BURGLARY
22,2025-06-30,BLACK,M,BATTERY
23,2024-09-30,BLACK,M,CRIMINAL DAMAGE
24,2024-02-05,HISPANIC,M,BURGLARY
25,2025-06-18,BLACK,M,THEFT
26,2024-04-07,BLACK,M,WEAPONS VIOLATION
27,2024-01-10,BLACK,F,BATTERY
28,2024-04-24,HISPANIC,F,BATTERY
29,2025-12-19,WHITE,M,WEAPONS VIOLATION
30,2024-03-09,BLACK,M,NARCOTICS
31,2024-06-14,WHITE,M,NARCOTICS
32,2024-04-03,BLACK,M,CRIMINAL DAMAGE
33,2024-01-16,BLACK,M,THEFT
34,2025-09-04,BLACK,F,BATTERY
35,2024-07-19,BLACK,F,BATTERY
36,2025-04-19,HISPANIC,M,CRIMINAL DAMAGE
37,2024-07-21,BLACK,M,WEAPONS VIOLATION
38,2024-05-16,HISPANIC,M,ASSAULT
39,2024-06-23,BLACK,F,THEFT
40,2025-05-17,BLACK,M,BURGLARY
41,2024-11-17,BLACK,F,CRIMINAL DAMAGE
42,2024-02-19,BLACK,M,BURGLARY
43,2025-05-26,HISPANIC,F,BATTERY
44,2024-04-13,BLACK,M,ASSAULT
45,2025-04-03,BLACK,M,ASSAULT
46,2024-08-26,BLACK,F,NARCOTICS
47,2024-08-12,BLACK,M,THEFT
