ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
CPD-2024-00001,2024-10-08,HISPANIC,M,BATTERY - SIMPLE
CPD-2024-00002,2024-04-14,BLACK,M,DISORDERLY CONDUCT
CPD-2024-00003,2025-07-12,HISPANIC,F,ROBBERY - STRONGARM
CPD-2024-00004,2024-02-02,BLACK,F,MOTOR VEHICLE THEFT
CPD-2024-00005,2024-08-26,BLACK,M,TRESPASS
CPD-2024-00006,2025-07-28,HISPANIC,F,NARCOTICS - MANUFACTURE/DELIVERY
CPD-2024-00007,2025-12-19,BLACK,F,ARSON
CPD-2024-00008,2025-04-04,HISPANIC,M,TRESPASS
CPD-2024-00009,2024-01-07,HISPANIC,M,HARASSMENT BY TELEPHONE
CPD-2024-00010,2025-03-08,WHITE,M,THEFT - FROM BUILDING
CPD-2024-00011,2024-08-08,BLACK,M,DISORDERLY CONDUCT
CPD-2024-00012,2024-04-04,WHITE,M,THEFT - RETAIL
CPD-2024-00013,2024-12-18,BLACK,M,ASSAULT - SIMPLE
CPD-2024-00014,2024-02-14,HISPANIC,M,HARASSMENT BY TELEPHONE
CPD-2024-00015,2024-05-07,WHITE,M,DOMESTIC BATTERY - SIMPLE
CPD-2024-00016,2024-10-27,BLACK,M,DOMESTIC BATTERY - SIMPLE
CPD-2024-00017,2025-01-05,HISPANIC,F,ROBBERY - STRONGARM
CPD-2024-00018,2024-03-12,HISPANIC,M,THEFT - FROM BUILDING
CPD-2024-00019,2024-10-23,BLACK,F,ASSAULT - AGGRAVATED
CPD-2024-00020,2024-04-13,BLACK,M,PROSTITUTION
CPD-2024-00021,2025-10-12,BLACK,M,LIQUOR LAW VIOLATION
CPD-2024-00022,2024-12-29,BLACK,M,ASSAULT - SIMPLE
CPD-2024-00023,2025-12-19,BLACK,F,THEFT - OVER $500
CPD-2024-00024,2025-09-15,HISPANIC,F,ROBBERY - ARMED
CPD-2024-00025,2024-09-07,HISPANIC,M,DOMESTIC BATTERY - SIMPLE
CPD-2024-00026,2024-10-03,BLACK,M,NARCOTICS - POSSESSION - CANNABIS <30G
CPD-2024-00027,2024-08-12,HISPANIC,F,HOMICIDE
CPD-2024-00028,2024-02-27,HISPANIC,M,PROSTITUTION
CPD-2024-00029,2024-11-19,BLACK,M,HARASSMENT BY TELEPHONE
CPD-2024-00030,2024-08-04,BLACK,M,THEFT - RETAIL
CPD-2024-00031,2024-08-05,HISPANIC,F,BURGLARY
CPD-2024-00032,2025-10-20,HISPANIC,F,MOTOR VEHICLE THEFT
CPD-2024-00033,2024-05-22,BLACK,M,CRIMINAL DAMAGE - PROPERTY
CPD-2024-00034,2025-07-05,BLACK,F,HOMICIDE
CPD-2024-00035,2025-03-14,BLACK,F,CRIMINAL SEXUAL ASSAULT
CPD-2024-00036,2024-08-12,HISPANIC,M,ASSAULT - SIMPLE
CPD-2024-00037,2024-04-03,BLACK,F,WEAPONS VIOLATION - UNLAWFUL USE
CPD-2024-00038,2024-04-22,WHITE,M,PROSTITUTION
CPD-2024-00039,2025-11-27,BLACK,F,BATTERY - AGGRAVATED
CPD-2024-00040,2025-01-29,BLACK,F,ROBBERY - ARMED
CPD-2024-00041,2025-06-25,BLACK,F,WEAPONS VIOLATION - UNLAWFUL USE
CPD-2024-00042,2024-01-12,BLACK,F,FRAUD - IDENTITY THEFT
CPD-2024-00043,2025-11-29,HISPANIC,F,ROBBERY - ARMED
CPD-2024-00044,2025-10-18,HISPANIC,F,THEFT - OVER $500
CPD-2024-00045,2025-03-21,BLACK,M,CRIMINAL DAMAGE - PROPERTY
CPD-2024-00046,2024-09-26,BLACK,M,BATTERY - SIMPLE
CPD-2024-00047,2025-06-03,HISPANIC,F,BATTERY - AGGRAVATED
CPD-2024-00048,2025-10-16,BLACK,F,THEFT - OVER $500
