ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-02,BLACK,M,THEFT
2,2024-01-03,HISPANIC,M,BATTERY
3,2024-01-04,BLACK,F,NARCOTICS
4,2024-01-05,WHITE,M,ASSAULT
5,2024-01-06,BLACK,M,ROBBERY
6,2024-01-07,HISPANIC,M,THEFT
7,2024-01-08,BLACK,F,BATTERY
8,2024-01-09,WHITE,M,CRIMINAL DAMAGE
9,2024-01-10,BLACK,M,NARCOTICS
10,2024-01-11,HISPANIC,M,ASSAULT
11,2024-01-12,BLACK,M,THEFT
12,2024-01-13,WHITE,F,BATTERY
13,2024-01-14,BLACK,M,ROBBERY
14,2024-01-15,HISPANIC,M,NARCOTICS
15,2024-01-16,BLACK,M,ASSAULT
16,2024-01-17,WHITE,M,THEFT
17,2024-01-18,BLACK,F,BATTERY
18,2024-01-19,HISPANIC,M,CRIMINAL TRESPASS
19,2024-01-20,BLACK,M,NARCOTICS
20,2024-01-21,WHITE,M,ASSAULT
21,2024-01-22,BLACK,M,THEFT
22,2024-01-23,HISPANIC,F,BATTERY
23,2024-01-24,BLACK,M,ROBBERY
24,2024-01-25,WHITE,M,NARCOTICS
25,2024-01-26,BLACK,M,ASSAULT
26,2024-01-27,HISPANIC,M,THEFT
27,2024-01-28,BLACK,F,BATTERY
28,2024-01-29,WHITE,M,CRIMINAL DAMAGE
29,2024-01-30,BLACK,M,NARCOTICS
30,2024-01-31,HISPANIC,M,ASSAULT
31,2024-02-01,BLACK,M,THEFT
32,2024-02-02,WHITE,F,BATTERY
33,2024-02-03,BLACK,M,ROBBERY
34,2024-02-04,HISPANIC,M,NARCOTICS
35,2024-02-05,BLACK,M,ASSAULT
36,2024-02-06,WHITE,M,THEFT
37,2024-02-07,BLACK,F,BATTERY
38,2024-02-08,HISPANIC,M,CRIMINAL TRESPASS
39,2024-02-09,BLACK,M,NARCOTICS
40,2024-02-10,WHITE,M,ASSAULT
41,2024-02-11,BLACK,M,THEFT
42,2024-02-12,HISPANIC,F,BATTERY
43,2024-02-13,BLACK,M,ROBBERY
44,2024-02-14,WHITE,M,NARCOTICS
45,2024-02-15,BLACK,M,ASSAULT
46,2024-02-16,HISPANIC,M,THEFT
47,2024-02-17,BLACK,F,BATTERY
48,2024-02-18,WHITE,M,CRIMINAL DAMAGE
49,2024-02-19,BLACK,M,NARCOTICS
50,2024-02-20,HISPANIC,M,ASSAULT
51,2024-03-01,BLACK,M,THEFT
52,2024-03-02,WHITE,F,BATTERY
53,2024-03-03,BLACK,M,ROBBERY
54,2024-03-04,HISPANIC,M,NARCOTICS
55,2024-03-05,BLACK,M,ASSAULT
56,2024-03-06,WHITE,M,THEFT
57,2024-03-07,BLACK,F,BATTERY
58,2024-03-08,HISPANIC,M,CRIMINAL TRESPASS
59,2024-03-09,BLACK,M,NARCOTICS
60,2024-03-10,WHITE,M,ASSAULT
61,2024-03-11,BLACK,M,THEFT
62,2024-03-12,HISPANIC,F,BATTERY
63,2024-03-13,BLACK,M,ROBBERY
64,2024-03-14,WHITE,M,NARCOTICS
65,2024-03-15,BLACK,M,ASSAULT
66,2024-03-16,HISPANIC,M,THEFT
67,2024-03-17,BLACK,F,BATTERY
68,2024-03-18,WHITE,M,CRIMINAL DAMAGE
69,2024-03-19,BLACK,M,NARCOTICS
70,2024-03-20,HISPANIC,M,ASSAULT
71,2024-04-01,BLACK,M,THEFT
72,2024-04-02,WHITE,F,BATTERY
73,2024-04-03,BLACK,M,ROBBERY
74,2024-04-04,HISPANIC,M,NARCOTICS
75,2024-04-05,BLACK,M,ASSAULT
76,2024-04-06,WHITE,M,THEFT
77,2024-04-07,BLACK,F,BATTERY
78,2024-04-08,HISPANIC,M,CRIMINAL TRESPASS
79,2024-04-09,BLACK,M,NARCOTICS
80,2024-04-10,WHITE,M,ASSAULT
81,2024-04-11,BLACK,M,THEFT
82,2024-04-12,HISPANIC,F,BATTERY
83,2024-04-13,BLACK,M,ROBBERY
84,2024-04-14,WHITE,M,NARCOTICS
85,2024-04-15,BLACK,M,ASSAULT
86,2024-04-16,HISPANIC,M,THEFT
87,2024-04-17,BLACK,F,BATTERY
88,2024-04-18,WHITE,M,CRIMINAL DAMAGE
89,2024-04-19,BLACK,M,NARCOTICS
90,2024-04-20,HISPANIC,M,ASSAULT
91,2024-05-01,BLACK,M,THEFT
92,2024-05-02,WHITE,F,BATTERY
93,2024-05-03,BLACK,M,ROBBERY
94,2024-05-04,HISPANIC,M,NARCOTICS
95,2024-05-05,BLACK,M,ASSAULT
96,2024-05-06,WHITE,M,THEFT
97,2024-05-07,BLACK,F,BATTERY
98,2024-05-08,HISPANIC,M,CRIMINAL TRESPASS
99,2024-05-09,BLACK,M,NARCOTICS
100,2024-05-10,WHITE,M,ASSAULT
101,2024-06-01,BLACK,M,THEFT
102,2024-06-02,HISPANIC,M,BATTERY
103,2024-06-03,BLACK,F,NARCOTICS
104,2024-06-04,WHITE,M,ASSAULT
105,2024-06-05,BLACK,M,ROBBERY
106,2024-06-06,HISPANIC,M,THEFT
107,2024-06-07,BLACK,F,BATTERY
108,2024-06-08,WHITE,M,CRIMINAL DAMAGE
109,2024-06-09,BLACK,M,NARCOTICS
110,2024-06-10,HISPANIC,M,ASSAULT
111,2024-07-01,BLACK,M,THEFT
112,2024-07-02,WHITE,F,BATTERY
113,2024-07-03,BLACK,M,ROBBERY
114,2024-07-04,HISPANIC,M,NARCOTICS
115,2024-07-05,BLACK,M,ASSAULT
116,2024-07-06,WHITE,M,THEFT
117,2024-07-07,BLACK,F,BATTERY
118,2024-07-08,HISPANIC,M,CRIMINAL TRESPASS
119,2024-07-09,BLACK,M,NARCOTICS
120,2024-07-10,WHITE,M,ASSAULT
121,2024-08-01,BLACK,M,THEFT
122,2024-08-02,HISPANIC,F,BATTERY
123,2024-08-03,BLACK,M,ROBBERY
124,2024-08-04,WHITE,M,NARCOTICS
125,2024-08-05,BLACK,M,ASSAULT
126,2024-08-06,HISPANIC,M,THEFT
127,2024-08-07,BLACK,F,BATTERY
128,2024-08-08,WHITE,M,CRIMINAL DAMAGE
129,2024-08-09,BLACK,M,NARCOTICS
130,2024-08-10,HISPANIC,M,ASSAULT
131,2025-01-01,BLACK,M,THEFT
132,2025-01-02,WHITE,F,BATTERY
133,2025-01-03,BLACK,M,ROBBERY
134,2025-01-04,HISPANIC,M,NARCOTICS
135,2025-01-05,BLACK,M,ASSAULT
136,2025-01-06,WHITE,M,THEFT
137,2025-01-07,BLACK,F,BATTERY
138,2025-01-08,HISPANIC,M,CRIMINAL TRESPASS
139,2025-01-09,BLACK,M,NARCOTICS
140,2025-01-10,WHITE,M,ASSAULT
141,2025-01-11,BLACK,M,THEFT
142,2025-01-12,HISPANIC,F,BATTERY
143,2025-01-13,BLACK,M,ROBBERY
144,2025-01-14,WHITE,M,NARCOTICS
145,2025-01-15,BLACK,M,ASSAULT
146,2025-01-16,HISPANIC,M,THEFT
147,2025-01-17,BLACK,F,BATTERY
148,2025-01-18,WHITE,M,CRIMINAL DAMAGE
149,2025-01-19,BLACK,M,NARCOTICS
150,2025-01-20,HISPANIC,M,ASSAULT
151,2025-02-01,BLACK,M,THEFT
152,2025-02-02,WHITE,F,BATTERY
153,2025-02-03,BLACK,M,ROBBERY
154,2025-02-04,HISPANIC,M,NARCOTICS
155,2025-02-05,BLACK,M,ASSAULT
156,2025-02-06,WHITE,M,THEFT
157,2025-02-07,BLACK,F,BATTERY
158,2025-02-08,HISPANIC,M,CRIMINAL TRESPASS
159,2025-02-09,BLACK,M,NARCOTICS
160,2025-02-10,WHITE,M,ASSAULT
