ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-02,BLACK,M,THEFT
2,2024-01-03,WHITE,M,BATTERY
3,2024-01-04,HISPANIC,F,NARCOTICS
4,2024-01-05,BLACK,M,ASSAULT
5,2024-01-06,BLACK,M,THEFT
6,2024-01-07,WHITE,M,CRIMINAL DAMAGE
7,2024-01-08,HISPANIC,M,NARCOTICS
8,2024-01-09,BLACK,F,BATTERY
9,2024-01-10,BLACK,M,ROBBERY
10,2024-01-11,WHITE,M,THEFT
11,2024-01-12,HISPANIC,M,ASSAULT
12,2024-01-13,BLACK,M,NARCOTICS
13,2024-01-14,BLACK,M,BATTERY
14,2024-01-15,WHITE,F,THEFT
15,2024-01-16,HISPANIC,M,CRIMINAL DAMAGE
16,2024-01-17,BLACK,M,ROBBERY
17,2024-01-18,BLACK,M,NARCOTICS
18,2024-01-19,WHITE,M,ASSAULT
19,2024-01-20,HISPANIC,M,BATTERY
20,2024-01-21,BLACK,M,THEFT
21,2024-01-22,BLACK,F,NARCOTICS
22,2024-01-23,WHITE,M,CRIMINAL TRESPASS
23,2024-01-24,HISPANIC,M,THEFT
24,2024-01-25,BLACK,M,ASSAULT
25,2024-01-26,BLACK,M,ROBBERY
26,2024-01-27,WHITE,M,BATTERY
27,2024-01-28,HISPANIC,M,NARCOTICS
28,2024-01-29,BLACK,M,THEFT
29,2024-01-30,BLACK,M,CRIMINAL DAMAGE
30,2024-01-31,WHITE,F,ASSAULT
31,2024-02-01,HISPANIC,M,THEFT
32,2024-02-02,BLACK,M,BATTERY
33,2024-02-03,BLACK,M,NARCOTICS
34,2024-02-04,WHITE,M,ROBBERY
35,2024-02-05,HISPANIC,F,ASSAULT
36,2024-02-06,BLACK,M,THEFT
37,2024-02-07,BLACK,M,CRIMINAL DAMAGE
38,2024-02-08,WHITE,M,NARCOTICS
39,2024-02-09,HISPANIC,M,BATTERY
40,2024-02-10,BLACK,M,ROBBERY
41,2024-02-11,BLACK,F,THEFT
42,2024-02-12,WHITE,M,ASSAULT
43,2024-02-13,HISPANIC,M,NARCOTICS
44,2024-02-14,BLACK,M,BATTERY
45,2024-02-15,BLACK,M,THEFT
46,2024-02-16,WHITE,M,CRIMINAL TRESPASS
47,2024-02-17,HISPANIC,M,ROBBERY
48,2024-02-18,BLACK,M,NARCOTICS
49,2024-02-19,BLACK,M,ASSAULT
50,2024-02-20,WHITE,F,BATTERY
51,2024-02-21,HISPANIC,M,THEFT
52,2024-02-22,BLACK,M,ROBBERY
53,2024-02-23,BLACK,M,NARCOTICS
54,2024-02-24,WHITE,M,ASSAULT
55,2024-02-25,HISPANIC,M,BATTERY
56,2024-02-26,BLACK,M,THEFT
57,2024-02-27,BLACK,F,CRIMINAL DAMAGE
58,2024-02-28,WHITE,M,NARCOTICS
59,2024-02-29,HISPANIC,M,ASSAULT
60,2024-03-01,BLACK,M,BATTERY
61,2024-03-02,BLACK,M,THEFT
62,2024-03-03,WHITE,M,ROBBERY
63,2024-03-04,HISPANIC,M,NARCOTICS
64,2024-03-05,BLACK,F,ASSAULT
65,2024-03-06,BLACK,M,THEFT
66,2024-03-07,WHITE,M,BATTERY
67,2024-03-08,HISPANIC,M,CRIMINAL DAMAGE
68,2024-03-09,BLACK,M,ROBBERY
69,2024-03-10,BLACK,M,NARCOTICS
70,2024-03-11,WHITE,F,ASSAULT
71,2024-03-12,HISPANIC,M,THEFT
72,2024-03-13,BLACK,M,BATTERY
73,2024-03-14,BLACK,M,NARCOTICS
74,2024-03-15,WHITE,M,CRIMINAL TRESPASS
75,2024-03-16,HISPANIC,M,ROBBERY
76,2024-03-17,BLACK,M,ASSAULT
77,2024-03-18,BLACK,M,THEFT
78,2024-03-19,WHITE,M,BATTERY
79,2024-03-20,HISPANIC,M,NARCOTICS
80,2024-03-21,BLACK,F,ROBBERY
81,2024-03-22,BLACK,M,THEFT
82,2024-03-23,WHITE,M,ASSAULT
83,2024-03-24,HISPANIC,M,BATTERY
84,2024-03-25,BLACK,M,NARCOTICS
85,2024-03-26,BLACK,M,THEFT
86,2024-03-27,WHITE,M,ROBBERY
87,2024-03-28,HISPANIC,M,CRIMINAL DAMAGE
88,2024-03-29,BLACK,M,BATTERY
89,2024-03-30,BLACK,F,ASSAULT
90,2024-03-31,WHITE,M,NARCOTICS
91,2025-01-02,HISPANIC,M,THEFT
92,2025-01-03,BLACK,M,BATTERY
93,2025-01-04,BLACK,M,NARCOTICS
94,2025-01-05,WHITE,M,ASSAULT
95,2025-01-06,HISPANIC,M,ROBBERY
96,2025-01-07,BLACK,M,THEFT
97,2025-01-08,BLACK,F,BATTERY
98,2025-01-09,WHITE,M,NARCOTICS
99,2025-01-10,HISPANIC,M,CRIMINAL DAMAGE
100,2025-01-11,BLACK,M,ASSAULT
101,2025-01-12,BLACK,M,THEFT
102,2025-01-13,WHITE,M,ROBBERY
103,2025-01-14,HISPANIC,M,BATTERY
104,2025-01-15,BLACK,M,NARCOTICS
105,2025-01-16,BLACK,F,ASSAULT
106,2025-01-17,WHITE,M,THEFT
107,2025-01-18,HISPANIC,M,CRIMINAL TRESPASS
108,2025-01-19,BLACK,M,ROBBERY
109,2025-01-20,BLACK,M,BATTERY
110,2025-01-21,WHITE,M,NARCOTICS
111,2025-01-22,HISPANIC,M,THEFT
112,2025-01-23,BLACK,M,ASSAULT
