COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE
4783041,04/02/2024,13:00,QUEENS,F,Failure to Yield Right-of-Way,SUV
4950906,07/15/2025,14:15,BROOKLYN,M,View Obstructed/Limited,SUV
4894343,09/27/2024,16:45,BROOKLYN,M,Unsafe Speed,Sedan
4071951,10/29/2025,01:00,BROOKLYN,F,Traffic Control Disregarded,Taxi
4379625,06/09/2025,18:00,QUEENS,M,Passing Too Closely,Bus
4965498,12/04/2024,19:30,BROOKLYN,M,Failure to Yield Right-of-Way,Van
4893085,09/08/2024,02:30,BROOKLYN,F,Passing Too Closely,Van
4220281,11/29/2025,07:00,BROOKLYN,M,Passing or Lane Usage Improper,Motorcycle
4819488,09/28/2024,10:45,QUEENS,M,Outside Car Distraction,Box Truck
4942802,12/17/2024,22:00,MANHATTAN,M,Backing Unsafely,Sedan
4816964,06/21/2024,02:00,MANHATTAN,M,Traffic Control Disregarded,Motorcycle
4226130,06/02/2024,17:45,BRONX,M,Cell Phone (Hand-Held),Sedan
4800177,06/28/2024,15:45,QUEENS,F,Backing Unsafely,Bicycle
4736996,04/09/2025,08:30,QUEENS,M,Failure to Yield Right-of-Way,Van
4116242,05/26/2025,19:00,BRONX,M,Drugs (Illegal),Sedan
4453014,11/26/2024,19:30,QUEENS,M,Passing Too Closely,E-Scooter
4697660,03/09/2025,23:00,MANHATTAN,F,Brakes Defective,Sedan
4312942,10/16/2025,16:15,BROOKLYN,M,Backing Unsafely,SUV
4697416,09/18/2024,11:15,MANHATTAN,M,View Obstructed/Limited,Sedan
4562275,05/07/2024,12:00,BROOKLYN,M,Brakes Defective,Motorcycle
4580828,08/23/2024,18:15,BROOKLYN,M,Unsafe Speed,Sedan
4578727,07/10/2025,12:45,QUEENS,F,Traffic Control Disregarded,E-Bike
4703024,03/09/2025,16:30,MANHATTAN,M,Cell Phone (Hand-Held),Sedan
4860394,08/21/2024,07:00,BROOKLYN,M,Aggressive Driving/Road Rage,Sedan
4812085,12/12/2024,21:00,MANHATTAN,M,Outside Car Distraction,Sedan
4529903,09/08/2025,00:15,BROOKLYN,M,Passing or Lane Usage Improper,SUV
4531981,03/16/2024,09:45,MANHATTAN,M,Unsafe Speed,SUV
4753258,11/22/2024,23:30,BRONX,F,Improper Lane Changing,Van
4201158,03/06/2025,21:45,BROOKLYN,M,Backing Unsafely,SUV
4954951,02/26/2024,03:15,BRONX,M,Backing Unsafely,Sedan
4904017,02/18/2024,20:30,BRONX,M,Turning Improperly,SUV
4398382,04/09/2024,11:30,BROOKLYN,M,Unsafe Speed,Van
4756648,11/28/2024,18:00,MANHATTAN,F,Improper Lane Changing,Sedan
4037642,09/24/2025,02:15,QUEENS,M,Cell Phone (Hand-Held),Bicycle
4846432,03/15/2025,17:00,MANHATTAN,M,Fatigued/Drowsy,Sedan
4668480,02/19/2025,11:15,BRONX,F,Improper Lane Changing,Box Truck
4695613,04/16/2024,04:30,BROOKLYN,M,Failure to Yield Right-of-Way,Van
4012861,08/10/2025,09:45,QUEENS,M,Outside Car Distraction,Sedan
4702685,04/17/2024,05:30,QUEENS,M,View Obstructed/Limited,Sedan
4475755,06/01/2025,19:45,MANHATTAN,M,Failure to Yield Right-of-Way,Box Truck
