ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-02,BLACK,M,BATTERY
2,2024-01-04,HISPANIC,M,THEFT
3,2024-01-07,BLACK,F,NARCOTICS
4,2024-01-10,BLACK,M,ASSAULT
5,2024-01-12,WHITE,M,DECEPTIVE PRACTICE
6,2024-01-15,BLACK,M,CRIMINAL TRESPASS
7,2024-01-18,HISPANIC,F,ROBBERY
8,2024-01-21,BLACK,M,BATTERY
9,2024-01-23,BLACK,F,WEAPONS VIOLATION
10,2024-01-26,HISPANIC,M,THEFT
11,2024-01-29,BLACK,M,NARCOTICS
12,2024-02-01,BLACK,F,BURGLARY
13,2024-02-04,WHITE,M,PUBLIC PEACE VIOLATION
14,2024-02-07,BLACK,M,BATTERY
15,2024-02-10,HISPANIC,M,THEFT
16,2024-02-13,BLACK,F,MOTOR VEHICLE THEFT
17,2024-02-16,BLACK,M,ASSAULT
18,2024-02-19,HISPANIC,M,CRIMINAL DAMAGE
19,2024-02-22,BLACK,M,BATTERY
20,2024-02-25,BLACK,F,NARCOTICS
21,2024-02-28,WHITE,M,THEFT
22,2024-03-02,BLACK,M,ASSAULT
23,2024-03-05,HISPANIC,M,BATTERY
24,2024-03-08,BLACK,F,ROBBERY
25,2024-03-11,BLACK,M,DECEPTIVE PRACTICE
26,2024-03-14,HISPANIC,M,THEFT
27,2024-03-17,BLACK,M,NARCOTICS
28,2024-03-20,BLACK,F,WEAPONS VIOLATION
29,2024-03-23,BLACK,M,CRIMINAL TRESPASS
30,2024-03-26,WHITE,M,BATTERY
31,2024-03-29,HISPANIC,M,ASSAULT
32,2024-04-01,BLACK,F,NARCOTICS
33,2024-04-04,OTHER/ASIAN/PACIFIC ISLANDER,M,THEFT
34,2024-04-07,BLACK,M,BATTERY
35,2024-04-10,HISPANIC,F,MOTOR VEHICLE THEFT
36,2024-04-13,BLACK,M,ASSAULT
37,2024-04-16,BLACK,M,THEFT
38,2024-04-19,BLACK,F,NARCOTICS
39,2024-04-22,HISPANIC,M,BATTERY
40,2024-04-25,WHITE,F,BURGLARY
41,2024-04-28,BLACK,M,CRIMINAL DAMAGE
42,2024-05-01,BLACK,M,ASSAULT
43,2024-05-04,HISPANIC,M,THEFT
44,2024-05-07,BLACK,F,ROBBERY
45,2024-05-10,BLACK,M,BATTERY
46,2024-05-13,HISPANIC,M,NARCOTICS
47,2024-05-16,BLACK,M,DECEPTIVE PRACTICE
48,2024-05-19,BLACK,F,WEAPONS VIOLATION
49,2024-05-22,WHITE,M,BATTERY
50,2024-05-25,BLACK,M,THEFT
51,2024-05-28,HISPANIC,M,ASSAULT
52,2024-05-31,BLACK,F,NARCOTICS
53,2024-06-03,BLACK,M,CRIMINAL TRESPASS
54,2024-06-06,HISPANIC,M,BATTERY
55,2024-06-09,BLACK,F,BURGLARY
56,2024-06-12,BLACK,M,THEFT
57,2024-06-15,BLACK,M,ASSAULT
58,2024-06-18,HISPANIC,F,MOTOR VEHICLE THEFT
59,2024-06-21,WHITE,M,PUBLIC PEACE VIOLATION
60,2024-06-24,BLACK,M,BATTERY
61,2024-06-27,BLACK,M,NARCOTICS
62,2024-06-30,HISPANIC,M,THEFT
