ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-12,BLACK,M,BATTERY
2,2024-01-12,HISPANIC,F,NARCOTICS
3,2024-01-13,WHITE,M,THEFT
4,2024-01-15,BLACK,F,ROBBERY
5,2024-01-18,BLACK,M,WEAPONS VIOLATION
6,2024-01-20,HISPANIC,M,ASSAULT
7,2024-01-22,BLACK,F,NARCOTICS
8,2024-01-25,WHITE,M,DECEPTIVE PRACTICE
9,2024-01-28,BLACK,M,BATTERY
10,2024-02-02,HISPANIC,M,MOTOR VEHICLE THEFT
11,2024-02-05,BLACK,F,THEFT
12,2024-02-09,BLACK,M,CRIMINAL TRESPASS
13,2024-02-12,WHITE,F,NARCOTICS
14,2024-02-15,HISPANIC,M,BATTERY
15,2024-02-18,BLACK,M,WEAPONS VIOLATION
16,2024-02-21,BLACK,M,ROBBERY
17,2024-02-24,WHITE,M,ASSAULT
18,2024-02-27,HISPANIC,F,THEFT
19,2024-03-02,BLACK,M,BATTERY
20,2024-03-05,BLACK,F,NARCOTICS
21,2024-03-08,HISPANIC,M,PUBLIC PEACE VIOLATION
22,2024-03-12,BLACK,M,WEAPONS VIOLATION
23,2024-03-15,WHITE,M,BURGLARY
24,2024-03-18,BLACK,M,BATTERY
25,2024-03-21,HISPANIC,M,MOTOR VEHICLE THEFT
26,2024-03-25,BLACK,F,DECEPTIVE PRACTICE
27,2024-03-28,WHITE,M,ASSAULT
28,2024-04-01,BLACK,M,NARCOTICS
29,2024-04-04,BLACK,M,BATTERY
30,2024-04-07,HISPANIC,F,THEFT
31,2024-04-10,BLACK,M,WEAPONS VIOLATION
32,2024-04-14,WHITE,M,NARCOTICS
33,2024-04-17,BLACK,M,ROBBERY
34,2024-04-20,HISPANIC,M,BATTERY
35,2024-04-24,BLACK,F,CRIMINAL TRESPASS
36,2024-04-27,BLACK,M,WEAPONS VIOLATION
37,2024-05-01,WHITE,M,ASSAULT
38,2024-05-04,BLACK,M,NARCOTICS
39,2024-05-08,HISPANIC,M,THEFT
40,2024-05-11,BLACK,F,BATTERY
41,2024-05-14,BLACK,M,MOTOR VEHICLE THEFT
42,2024-05-18,WHITE,F,DECEPTIVE PRACTICE
43,2024-05-21,BLACK,M,WEAPONS VIOLATION
44,2024-05-25,HISPANIC,M,NARCOTICS
45,2024-05-28,BLACK,M,BATTERY
46,2024-06-01,WHITE,M,THEFT
47,2024-06-05,BLACK,F,ASSAULT
48,2024-06-09,BLACK,M,ROBBERY
49,2024-06-12,HISPANIC,M,WEAPONS VIOLATION
50,2024-06-15,BLACK,M,NARCOTICS
51,2024-06-19,BLACK,F,BATTERY
52,2024-06-22,WHITE,M,PUBLIC PEACE VIOLATION
53,2024-06-26,HISPANIC,M,THEFT
54,2024-06-29,BLACK,M,WEAPONS VIOLATION
55,2024-07-03,BLACK,M,NARCOTICS
56,2024-07-07,WHITE,F,ASSAULT
57,2024-07-10,HISPANIC,M,BATTERY
58,2024-07-14,BLACK,M,MOTOR VEHICLE THEFT
59,2024-07-17,BLACK,F,THEFT
60,2024-07-21,BLACK,M,WEAPONS VIOLATION
61,2024-07-25,WHITE,M,BURGLARY
62,2024-07-28,HISPANIC,M,NARCOTICS
63,2024-08-01,BLACK,M,BATTERY
64,2024-08-05,BLACK,F,ASSAULT
65,2024-08-09,WHITE,M,DECEPTIVE PRACTICE
66,2024-08-12,HISPANIC,M,THEFT
67,2024-08-16,BLACK,M,WEAPONS VIOLATION
68,2024-08-19,BLACK,M,NARCOTICS
69,2024-08-23,HISPANIC,F,BATTERY
70,2024-08-26,BLACK,M,ROBBERY
71,2024-08-30,WHITE,M,NARCOTICS
72,2024-09-03,BLACK,M,WEAPONS VIOLATION
73,2024-09-07,HISPANIC,M,ASSAULT
74,2024-09-10,BLACK,F,THEFT
75,2024-09-14,BLACK,M,BATTERY
76,2024-09-17,WHITE,M,MOTOR VEHICLE THEFT
77,2024-09-21,HISPANIC,M,NARCOTICS
78,2024-09-24,BLACK,M,WEAPONS VIOLATION
79,2024-09-28,BLACK,F,CRIMINAL TRESPASS
80,2024-10-02,WHITE,M,BATTERY
81,2024-10-06,HISPANIC,M,THEFT
82,2024-10-10,BLACK,M,NARCOTICS
83,2024-10-13,BLACK,M,ROBBERY
84,2024-10-17,WHITE,F,ASSAULT
85,2024-10-21,HISPANIC,M,WEAPONS VIOLATION
86,2024-10-24,BLACK,M,BATTERY
87,2024-10-28,BLACK,M,THEFT
88,2024-11-01,HISPANIC,M,NARCOTICS
89,2024-11-05,WHITE,M,DECEPTIVE PRACTICE
90,2024-11-09,BLACK,F,BATTERY
91,2024-11-12,BLACK,M,WEAPONS VIOLATION
92,2024-11-16,HISPANIC,M,MOTOR VEHICLE THEFT
93,2024-11-20,BLACK,M,ASSAULT
94,2024-11-24,WHITE,M,THEFT
95,2024-11-28,BLACK,M,NARCOTICS
96,2024-12-02,HISPANIC,F,BATTERY
97,2024-12-06,BLACK,M,ROBBERY
98,2024-12-10,BLACK,M,WEAPONS VIOLATION
99,2024-12-14,WHITE,M,NARCOTICS
100,2024-12-18,HISPANIC,M,THEFT
101,2024-12-22,BLACK,F,ASSAULT
102,2024-12-26,BLACK,M,BATTERY
103,2024-12-30,WHITE,M,CRIMINAL TRESPASS
104,2025-01-03,BLACK,M,NARCOTICS
105,2025-01-07,HISPANIC,M,WEAPONS VIOLATION
106,2025-01-11,BLACK,M,BATTERY
107,2025-01-15,WHITE,F,THEFT
108,2025-01-19,BLACK,M,ROBBERY
109,2025-01-23,HISPANIC,M,ASSAULT
110,2025-01-27,BLACK,F,NARCOTICS
111,2025-01-31,BLACK,M,WEAPONS VIOLATION
112,2025-02-04,WHITE,M,BATTERY
113,2025-02-08,HISPANIC,M,MOTOR VEHICLE THEFT
114,2025-02-12,BLACK,M,THEFT
115,2025-02-16,BLACK,M,NARCOTICS
116,2025-02-20,WHITE,M,ASSAULT
117,2025-02-24,HISPANIC,F,BATTERY
118,2025-02-28,BLACK,M,WEAPONS VIOLATION
119,2025-03-04,BLACK,M,ROBBERY
120,2025-03-08,WHITE,M,NARCOTICS
121,2025-03-12,HISPANIC,M,THEFT
122,2025-03-16,BLACK,F,BATTERY
123,2025-03-20,BLACK,M,WEAPONS VIOLATION
124,2025-03-24,WHITE,M,DECEPTIVE PRACTICE
125,2025-03-28,HISPANIC,M,ASSAULT
126,2025-04-01,BLACK,M,NARCOTICS
127,2025-04-05,BLACK,M,BATTERY
128,2025-04-09,WHITE,F,THEFT
129,2025-04-13,HISPANIC,M,WEAPONS VIOLATION
130,2025-04-17,BLACK,M,MOTOR VEHICLE THEFT
131,2025-04-21,BLACK,M,ROBBERY
132,2025-04-25,WHITE,M,NARCOTICS
133,2025-04-29,HISPANIC,M,BATTERY
134,2025-05-03,BLACK,F,ASSAULT
135,2025-05-07,BLACK,M,WEAPONS VIOLATION
136,2025-05-11,WHITE,M,THEFT
137,2025-05-15,HISPANIC,M,NARCOTICS
138,2025-05-19,BLACK,M,BATTERY
139,2025-05-23,BLACK,M,CRIMINAL TRESPASS
140,2025-05-27,WHITE,F,ASSAULT
141,2025-05-31,HISPANIC,M,WEAPONS VIOLATION
142,2025-06-04,BLACK,M,NARCOTICS
143,2025-06-08,BLACK,M,BATTERY
144,2025-06-12,WHITE,M,THEFT
145,2025-06-16,HISPANIC,M,ROBBERY
146,2025-06-20,BLACK,F,NARCOTICS
147,2025-06-24,BLACK,M,WEAPONS VIOLATION
148,2025-06-28,WHITE,M,ASSAULT
149,2025-07-02,HISPANIC,M,BATTERY
150,2025-07-06,BLACK,M,MOTOR VEHICLE THEFT
151,2025-07-10,BLACK,M,THEFT
152,2025-07-14,WHITE,F,NARCOTICS
153,2025-07-18,HISPANIC,M,WEAPONS VIOLATION
154,2025-07-22,BLACK,M,BATTERY
155,2025-07-26,BLACK,M,ROBBERY
156,2025-07-30,WHITE,M,ASSAULT
157,2025-08-03,HISPANIC,M,NARCOTICS
158,2025-08-07,BLACK,F,THEFT
159,2025-08-11,BLACK,M,WEAPONS VIOLATION
160,2025-08-15,WHITE,M,BATTERY
161,2025-08-19,HISPANIC,M,DECEPTIVE PRACTICE
162,2025-08-23,BLACK,M,NARCOTICS
163,2025-08-27,BLACK,M,ASSAULT
164,2025-08-31,WHITE,F,THEFT
165,2025-09-04,HISPANIC,M,WEAPONS VIOLATION
166,2025-09-08,BLACK,M,BATTERY
167,2025-09-12,BLACK,M,ROBBERY
168,2025-09-16,WHITE,M,NARCOTICS
169,2025-09-20,HISPANIC,M,MOTOR VEHICLE THEFT
170,2025-09-24,BLACK,F,ASSAULT
171,2025-09-28,BLACK,M,WEAPONS VIOLATION
172,2025-10-02,WHITE,M,BATTERY
173,2025-10-06,HISPANIC,M,THEFT
174,2025-10-10,BLACK,M,NARCOTICS
175,2025-10-14,BLACK,M,CRIMINAL TRESPASS
176,2025-10-18,WHITE,F,BATTERY
177,2025-10-22,HISPANIC,M,WEAPONS VIOLATION
178,2025-10-26,BLACK,M,ASSAULT
179,2025-10-30,BLACK,M,THEFT
180,2025-11-03,WHITE,M,NARCOTICS
181,2025-11-07,HISPANIC,M,ROBBERY
182,2025-11-11,BLACK,F,BATTERY
183,2025-11-15,BLACK,M,WEAPONS VIOLATION
184,2025-11-19,WHITE,M,MOTOR VEHICLE THEFT
185,2025-11-23,HISPANIC,M,ASSAULT
186,2025-11-27,BLACK,M,NARCOTICS
187,2025-12-01,BLACK,M,THEFT
188,2025-12-05,WHITE,F,DECEPTIVE PRACTICE
189,2025-12-09,HISPANIC,M,WEAPONS VIOLATION
190,2025-12-13,BLACK,M,BATTERY
191,2025-12-17,BLACK,M,ROBBERY
192,2025-12-21,WHITE,M,NARCOTICS
193,2025-12-25,HISPANIC,M,ASSAULT
194,2025-12-29,BLACK,F,THEFT
195,2024-01-05,BLACK,M,BATTERY
196,2024-01-10,HISPANIC,F,THEFT
197,2024-01-15,BLACK,M,WEAPONS VIOLATION
198,2024-01-20,WHITE,M,NARCOTICS
199,2024-01-25,BLACK,M,ROBBERY
200,2024-01-30,HISPANIC,M,ASSAULT
201,2024-02-04,BLACK,F,BATTERY
202,2024-02-09,BLACK,M,MOTOR VEHICLE THEFT
203,2024-02-14,WHITE,M,THEFT
204,2024-02-19,HISPANIC,M,NARCOTICS
205,2024-02-24,BLACK,M,WEAPONS VIOLATION
206,2024-03-01,BLACK,M,ASSAULT
207,2024-03-06,WHITE,F,DECEPTIVE PRACTICE
208,2024-03-11,HISPANIC,M,BATTERY
209,2024-03-16,BLACK,M,NARCOTICS
210,2024-03-21,BLACK,F,THEFT
211,2024-03-26,WHITE,M,WEAPONS VIOLATION
212,2024-03-31,HISPANIC,M,ROBBERY
213,2024-04-05,BLACK,M,BATTERY
214,2024-04-10,BLACK,M,ASSAULT
215,2024-04-15,WHITE,M,NARCOTICS
216,2024-04-20,HISPANIC,F,THEFT
217,2024-04-25,BLACK,M,WEAPONS VIOLATION
218,2024-04-30,BLACK,M,MOTOR VEHICLE THEFT
