ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-05,BLACK,F,ROBBERY
2,2024-01-12,HISPANIC,M,BATTERY
3,2024-01-20,BLACK,M,THEFT
4,2024-02-03,WHITE,M,NARCOTICS
5,2024-02-15,BLACK,F,WEAPONS VIOLATION
6,2024-02-28,BLACK,M,ASSAULT
7,2024-03-10,HISPANIC,F,BURGLARY
8,2024-03-22,BLACK,M,NARCOTICS
9,2024-04-05,WHITE,F,DECEPTIVE PRACTICE
10,2024-04-18,BLACK,M,BATTERY
11,2024-05-02,HISPANIC,M,MOTOR VEHICLE THEFT
12,2024-05-14,BLACK,F,RETAIL THEFT
13,2024-05-29,BLACK,M,CRIMINAL TRESPASS
14,2024-06-11,BLACK,F,AGGRAVATED BATTERY
15,2024-06-25,HISPANIC,M,NARCOTICS
16,2024-07-09,WHITE,M,OTHER OFFENSE
17,2024-07-21,BLACK,M,WEAPONS VIOLATION
18,2024-08-04,BLACK,M,ROBBERY
19,2024-08-16,HISPANIC,F,BATTERY
20,2024-08-30,BLACK,M,PUBLIC PEACE VIOLATION
21,2024-09-12,BLACK,F,NARCOTICS
22,2024-09-26,WHITE,M,ASSAULT
23,2024-10-08,HISPANIC,M,BURGLARY
24,2024-10-22,BLACK,M,THEFT
25,2024-11-04,BLACK,M,WEAPONS VIOLATION
26,2024-11-18,HISPANIC,M,NARCOTICS
27,2024-12-02,BLACK,F,BATTERY
28,2024-12-15,WHITE,M,DECEPTIVE PRACTICE
29,2024-12-28,BLACK,M,ASSAULT
30,2025-01-08,BLACK,F,ROBBERY
31,2025-01-20,HISPANIC,M,THEFT
32,2025-02-02,BLACK,M,NARCOTICS
33,2025-02-14,BLACK,M,WEAPONS VIOLATION
34,2025-02-27,WHITE,F,BATTERY
35,2025-03-11,BLACK,M,ASSAULT
36,2025-03-25,HISPANIC,M,MOTOR VEHICLE THEFT
37,2025-04-07,BLACK,F,NARCOTICS
38,2025-04-19,BLACK,M,BATTERY
39,2025-05-03,WHITE,M,THEFT
40,2025-05-15,BLACK,M,WEAPONS VIOLATION
41,2025-05-28,HISPANIC,F,OTHER OFFENSE
42,2025-06-10,BLACK,M,NARCOTICS
43,2025-06-23,BLACK,F,BATTERY
44,2025-07-06,WHITE,M,ASSAULT
45,2025-07-18,BLACK,M,BURGLARY
46,2025-07-31,HISPANIC,M,WEAPONS VIOLATION
47,2025-08-12,BLACK,M,NARCOTICS
48,2025-08-25,BLACK,F,THEFT
49,2025-09-07,WHITE,M,BATTERY
50,2025-09-20,BLACK,M,CRIMINAL TRESPASS
51,2025-10-03,HISPANIC,M,NARCOTICS
52,2025-10-15,BLACK,F,ASSAULT
53,2025-10-29,BLACK,M,WEAPONS VIOLATION
54,2025-11-10,WHITE,M,DECEPTIVE PRACTICE
55,2025-11-23,HISPANIC,M,BATTERY
56,2025-12-05,BLACK,M,NARCOTICS
57,2025-12-18,BLACK,F,THEFT
58,2025-12-30,BLACK,M,WEAPONS VIOLATION
59,2024-01-10,BLACK,F,HOMICIDE
60,2024-01-22,HISPANIC,M,BATTERY
61,2024-02-05,BLACK,M,NARCOTICS
62,2024-02-18,BLACK,M,THEFT
63,2024-03-02,WHITE,F,ASSAULT
64,2024-03-15,BLACK,M,WEAPONS VIOLATION
65,2024-03-29,HISPANIC,M,OTHER OFFENSE
66,2024-04-11,BLACK,M,NARCOTICS
67,2024-04-24,BLACK,F,BATTERY
68,2024-05-07,WHITE,M,DECEPTIVE PRACTICE
69,2024-05-20,BLACK,M,BURGLARY
70,2024-06-03,HISPANIC,M,THEFT
71,2024-06-16,BLACK,F,NARCOTICS
72,2024-06-30,BLACK,M,WEAPONS VIOLATION
73,2024-07-13,WHITE,M,BATTERY
74,2024-07-26,HISPANIC,M,ASSAULT
75,2024-08-08,BLACK,M,NARCOTICS
76,2024-08-21,BLACK,F,THEFT
77,2024-09-03,BLACK,M,ROBBERY
78,2024-09-16,WHITE,M,CRIMINAL DAMAGE
79,2024-09-30,HISPANIC,M,NARCOTICS
80,2024-10-13,BLACK,M,BATTERY
81,2024-10-26,BLACK,F,WEAPONS VIOLATION
82,2024-11-09,WHITE,M,OTHER OFFENSE
83,2024-11-22,HISPANIC,M,ASSAULT
84,2024-12-05,BLACK,M,NARCOTICS
85,2024-12-19,BLACK,F,BATTERY
86,2025-01-02,WHITE,M,DECEPTIVE PRACTICE
87,2025-01-15,HISPANIC,M,THEFT
88,2025-01-29,BLACK,M,WEAPONS VIOLATION
89,2025-02-10,BLACK,F,NARCOTICS
90,2025-02-23,BLACK,M,ASSAULT
91,2025-03-08,WHITE,M,BATTERY
92,2025-03-21,HISPANIC,M,ROBBERY
93,2025-04-03,BLACK,M,NARCOTICS
94,2025-04-16,BLACK,F,THEFT
95,2025-04-29,BLACK,M,WEAPONS VIOLATION
96,2025-05-12,WHITE,M,DECEPTIVE PRACTICE
97,2025-05-25,HISPANIC,M,BATTERY
98,2025-06-07,BLACK,M,NARCOTICS
99,2025-06-20,BLACK,F,ASSAULT
100,2025-07-03,BLACK,M,THEFT
101,2025-07-16,WHITE,M,OTHER OFFENSE
102,2025-07-30,HISPANIC,M,WEAPONS VIOLATION
103,2025-08-11,BLACK,M,NARCOTICS
104,2025-08-24,BLACK,F,BATTERY
105,2025-09-06,WHITE,M,ASSAULT
106,2025-09-19,HISPANIC,M,BURGLARY
107,2025-10-02,BLACK,M,NARCOTICS
108,2025-10-15,BLACK,F,WEAPONS VIOLATION
109,2025-10-28,BLACK,M,THEFT
110,2025-11-10,WHITE,M,DECEPTIVE PRACTICE
111,2025-11-23,HISPANIC,M,BATTERY
112,2025-12-06,BLACK,M,NARCOTICS
113,2025-12-19,BLACK,F,ASSAULT
114,2025-12-31,BLACK,M,WEAPONS VIOLATION
115,2024-01-02,BLACK,M,NARCOTICS
116,2024-01-15,HISPANIC,M,BATTERY
117,2024-01-28,BLACK,F,THEFT
118,2024-02-11,BLACK,M,WEAPONS VIOLATION
119,2024-02-24,WHITE,M,OTHER OFFENSE
120,2024-03-08,BLACK,M,ASSAULT
121,2024-03-21,HISPANIC,M,NARCOTICS
122,2024-04-03,BLACK,M,BATTERY
123,2024-04-16,BLACK,F,ROBBERY
124,2024-04-29,WHITE,M,DECEPTIVE PRACTICE
125,2024-05-12,BLACK,M,THEFT
126,2024-05-25,HISPANIC,M,WEAPONS VIOLATION
127,2024-06-07,BLACK,M,NARCOTICS
128,2024-06-20,BLACK,F,BATTERY
129,2024-07-03,WHITE,M,ASSAULT
130,2024-07-16,HISPANIC,M,MOTOR VEHICLE THEFT
131,2024-07-29,BLACK,M,NARCOTICS
132,2024-08-11,BLACK,F,THEFT
133,2024-08-24,BLACK,M,WEAPONS VIOLATION
134,2024-09-06,WHITE,M,DECEPTIVE PRACTICE
135,2024-09-19,HISPANIC,M,BATTERY
136,2024-10-02,BLACK,M,NARCOTICS
137,2024-10-15,BLACK,F,ASSAULT
138,2024-10-28,BLACK,M,THEFT
139,2024-11-10,WHITE,M,OTHER OFFENSE
140,2024-11-23,HISPANIC,M,WEAPONS VIOLATION
141,2024-12-06,BLACK,M,NARCOTICS
142,2024-12-19,BLACK,F,BATTERY
143,2025-01-01,BLACK,M,WEAPONS VIOLATION
144,2025-01-14,WHITE,M,ASSAULT
145,2025-01-27,HISPANIC,M,BURGLARY
146,2025-02-09,BLACK,M,NARCOTICS
147,2025-02-22,BLACK,F,THEFT
148,2025-03-07,BLACK,M,WEAPONS VIOLATION
149,2025-03-20,WHITE,M,DECEPTIVE PRACTICE
150,2025-04-02,HISPANIC,M,BATTERY
151,2025-04-15,BLACK,M,NARCOTICS
152,2025-04-28,BLACK,F,ASSAULT
153,2025-05-11,BLACK,M,THEFT
