ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-03,BLACK,F,THEFT
2,2024-01-05,WHITE,M,BATTERY
3,2024-01-07,HISPANIC,F,NARCOTICS
4,2024-01-08,BLACK,M,ASSAULT
5,2024-01-09,WHITE,F,BURGLARY
6,2024-01-10,BLACK,M,BATTERY
7,2024-01-11,HISPANIC,M,THEFT
8,2024-01-12,BLACK,F,NARCOTICS
9,2024-01-14,WHITE,M,ROBBERY
10,2024-01-15,ASIAN,M,THEFT
11,2024-01-16,BLACK,F,BATTERY
12,2024-01-17,HISPANIC,F,ASSAULT
13,2024-01-18,BLACK,M,NARCOTICS
14,2024-01-19,WHITE,F,THEFT
15,2024-01-21,BLACK,M,ROBBERY
16,2024-01-22,HISPANIC,M,BATTERY
17,2024-01-23,BLACK,F,THEFT
18,2024-01-24,WHITE,M,NARCOTICS
19,2024-01-25,BLACK,M,ASSAULT
20,2024-01-26,HISPANIC,F,THEFT
21,2024-01-28,BLACK,M,BATTERY
22,2024-01-29,WHITE,F,BURGLARY
23,2024-01-30,BLACK,M,NARCOTICS
24,2024-01-31,HISPANIC,M,THEFT
25,2024-02-01,BLACK,F,ASSAULT
26,2024-02-02,WHITE,M,BATTERY
27,2024-02-04,BLACK,M,THEFT
28,2024-02-05,HISPANIC,F,NARCOTICS
29,2024-02-06,BLACK,M,ROBBERY
30,2024-02-07,WHITE,M,THEFT
31,2024-02-08,BLACK,F,BATTERY
32,2024-02-09,ASIAN,M,NARCOTICS
33,2024-02-10,HISPANIC,M,ASSAULT
34,2024-02-12,BLACK,M,THEFT
35,2024-02-13,WHITE,F,BATTERY
36,2024-02-14,BLACK,F,NARCOTICS
37,2024-02-15,HISPANIC,M,THEFT
38,2024-02-16,BLACK,M,ROBBERY
39,2024-02-17,WHITE,M,ASSAULT
40,2024-02-19,BLACK,M,BATTERY
41,2024-02-20,HISPANIC,F,THEFT
42,2024-02-21,BLACK,F,NARCOTICS
43,2024-02-22,WHITE,M,THEFT
44,2024-02-23,BLACK,M,BATTERY
45,2024-02-24,HISPANIC,M,ASSAULT
46,2024-02-25,BLACK,F,THEFT
47,2024-02-26,WHITE,F,NARCOTICS
48,2024-02-27,BLACK,M,ROBBERY
49,2024-02-28,HISPANIC,M,BATTERY
50,2024-02-29,BLACK,M,THEFT
51,2024-03-01,WHITE,F,ASSAULT
52,2024-03-02,BLACK,M,BATTERY
53,2024-03-04,HISPANIC,F,THEFT
54,2024-03-05,BLACK,F,NARCOTICS
55,2024-03-06,WHITE,M,ROBBERY
56,2024-03-07,BLACK,M,THEFT
57,2024-03-08,HISPANIC,M,BATTERY
58,2024-03-09,BLACK,F,ASSAULT
59,2024-03-11,WHITE,M,NARCOTICS
60,2024-03-12,BLACK,M,THEFT
61,2024-03-13,HISPANIC,F,BATTERY
62,2024-03-14,BLACK,M,ROBBERY
63,2024-03-15,WHITE,F,THEFT
64,2024-03-16,BLACK,F,NARCOTICS
65,2024-03-18,HISPANIC,M,ASSAULT
66,2024-03-19,BLACK,M,BATTERY
67,2024-03-20,WHITE,M,THEFT
68,2024-03-21,ASIAN,F,NARCOTICS
69,2024-03-22,BLACK,M,ROBBERY
70,2024-03-23,HISPANIC,F,THEFT
71,2024-03-25,BLACK,F,BATTERY
72,2024-03-26,WHITE,M,ASSAULT
73,2024-03-27,BLACK,M,NARCOTICS
74,2024-03-28,HISPANIC,M,THEFT
75,2024-03-29,BLACK,F,BATTERY
76,2024-04-01,WHITE,F,THEFT
77,2024-04-02,BLACK,M,ROBBERY
78,2024-04-03,HISPANIC,M,NARCOTICS
79,2024-04-04,BLACK,F,ASSAULT
80,2024-04-05,WHITE,M,BATTERY
81,2024-04-07,BLACK,M,THEFT
82,2024-04-08,HISPANIC,F,NARCOTICS
83,2024-04-09,BLACK,M,BATTERY
84,2024-04-10,WHITE,M,THEFT
85,2024-04-11,BLACK,F,ASSAULT
86,2024-04-12,HISPANIC,M,ROBBERY
87,2024-04-14,BLACK,M,NARCOTICS
88,2024-04-15,WHITE,F,BATTERY
89,2024-04-16,BLACK,M,THEFT
90,2024-04-17,HISPANIC,F,ASSAULT
91,2024-04-18,BLACK,F,BATTERY
92,2024-04-19,WHITE,M,NARCOTICS
93,2024-04-20,BLACK,M,THEFT
94,2024-04-21,HISPANIC,M,ROBBERY
95,2024-04-22,BLACK,F,BATTERY
96,2024-04-23,WHITE,M,ASSAULT
97,2024-04-24,BLACK,M,THEFT
98,2024-04-25,ASIAN,M,NARCOTICS
99,2024-04-26,HISPANIC,F,BATTERY
100,2024-04-28,BLACK,M,THEFT
101,2024-04-29,WHITE,F,ROBBERY
102,2024-04-30,BLACK,F,NARCOTICS
103,2024-05-01,HISPANIC,M,ASSAULT
104,2024-05-02,BLACK,M,BATTERY
105,2024-05-03,WHITE,M,THEFT
106,2024-05-04,BLACK,F,NARCOTICS
107,2024-05-05,HISPANIC,F,THEFT
108,2024-05-06,BLACK,M,ROBBERY
109,2024-05-07,WHITE,M,BATTERY
110,2024-05-08,BLACK,M,ASSAULT
111,2024-05-09,HISPANIC,M,THEFT
112,2024-05-10,BLACK,F,NARCOTICS
113,2024-05-11,WHITE,F,BATTERY
114,2024-05-13,BLACK,M,THEFT
115,2024-05-14,HISPANIC,M,ASSAULT
116,2024-05-15,BLACK,F,ROBBERY
117,2024-05-16,WHITE,M,NARCOTICS
118,2024-05-17,BLACK,M,THEFT
119,2024-05-18,HISPANIC,F,BATTERY
120,2024-05-19,BLACK,M,ASSAULT
121,2024-05-20,WHITE,M,THEFT
122,2024-05-21,BLACK,F,NARCOTICS
123,2024-05-22,HISPANIC,M,ROBBERY
124,2024-05-23,BLACK,M,BATTERY
125,2024-05-24,WHITE,F,THEFT
126,2024-05-25,BLACK,M,ASSAULT
127,2024-05-26,ASIAN,F,THEFT
128,2024-05-27,HISPANIC,M,NARCOTICS
129,2024-05-28,BLACK,F,BATTERY
130,2024-05-29,WHITE,M,THEFT
131,2024-06-01,BLACK,M,ROBBERY
132,2024-06-02,HISPANIC,F,ASSAULT
133,2024-06-03,BLACK,M,NARCOTICS
134,2024-06-04,WHITE,M,BATTERY
135,2024-06-05,BLACK,F,THEFT
136,2024-06-06,HISPANIC,M,ROBBERY
137,2024-06-07,BLACK,M,ASSAULT
138,2024-06-08,WHITE,F,NARCOTICS
139,2024-06-09,BLACK,M,THEFT
140,2024-06-10,HISPANIC,F,BATTERY
141,2024-06-11,BLACK,F,ASSAULT
142,2024-06-12,WHITE,M,THEFT
143,2024-06-13,BLACK,M,NARCOTICS
144,2024-06-14,HISPANIC,M,ROBBERY
145,2024-06-15,BLACK,M,BATTERY
146,2024-06-16,WHITE,F,THEFT
147,2024-06-17,BLACK,F,ASSAULT
148,2024-06-18,HISPANIC,M,NARCOTICS
149,2024-06-19,BLACK,M,BATTERY
150,2024-06-20,WHITE,M,THEFT
151,2024-06-21,BLACK,M,ROBBERY
152,2024-06-22,HISPANIC,F,BATTERY
153,2024-06-23,BLACK,F,THEFT
154,2024-06-24,WHITE,M,ASSAULT
155,2024-06-25,BLACK,M,NARCOTICS
156,2024-06-26,HISPANIC,M,THEFT
157,2024-06-27,BLACK,F,BATTERY
158,2024-06-28,WHITE,F,ROBBERY
159,2024-06-29,BLACK,M,ASSAULT
160,2024-06-30,ASIAN,M,THEFT
161,2024-07-01,BLACK,M,NARCOTICS
162,2024-07-02,HISPANIC,F,BATTERY
163,2024-07-03,BLACK,M,THEFT
164,2024-07-04,WHITE,M,ASSAULT
165,2024-07-05,BLACK,F,ROBBERY
166,2024-07-06,HISPANIC,M,NARCOTICS
167,2024-07-07,BLACK,M,BATTERY
168,2024-07-08,WHITE,F,THEFT
169,2024-07-09,BLACK,M,ASSAULT
170,2024-07-10,HISPANIC,F,THEFT
171,2024-07-11,BLACK,F,NARCOTICS
172,2024-07-12,WHITE,M,ROBBERY
173,2024-07-13,BLACK,M,BATTERY
174,2024-07-14,HISPANIC,M,THEFT
175,2024-07-15,BLACK,M,ASSAULT
176,2024-07-16,WHITE,F,NARCOTICS
177,2024-07-17,BLACK,F,BATTERY
178,2024-07-18,HISPANIC,M,THEFT
179,2024-07-19,BLACK,M,ROBBERY
180,2024-07-20,WHITE,M,ASSAULT
181,2024-07-21,BLACK,M,NARCOTICS
182,2024-07-22,HISPANIC,F,BATTERY
183,2024-07-23,BLACK,F,THEFT
184,2024-07-24,WHITE,M,ASSAULT
185,2024-07-25,BLACK,M,ROBBERY
186,2024-07-26,HISPANIC,M,NARCOTICS
187,2024-07-27,BLACK,M,BATTERY
188,2024-07-28,WHITE,F,THEFT
189,2024-07-29,BLACK,F,ASSAULT
190,2024-07-30,ASIAN,M,NARCOTICS
191,2024-08-01,HISPANIC,M,THEFT
192,2024-08-02,BLACK,M,BATTERY
193,2024-08-03,WHITE,F,ROBBERY
194,2024-08-04,BLACK,F,NARCOTICS
195,2024-08-05,HISPANIC,M,ASSAULT
196,2024-08-06,BLACK,M,THEFT
197,2024-08-07,WHITE,M,BATTERY
198,2024-08-08,BLACK,F,NARCOTICS
199,2024-08-09,HISPANIC,F,THEFT
200,2024-08-10,BLACK,M,ROBBERY
201,2024-08-11,WHITE,M,ASSAULT
202,2024-08-12,BLACK,M,BATTERY
203,2024-08-13,HISPANIC,M,THEFT
204,2024-08-14,BLACK,F,NARCOTICS
205,2024-08-15,WHITE,F,ROBBERY
206,2024-08-16,BLACK,M,ASSAULT
207,2024-08-17,HISPANIC,F,BATTERY
208,2024-08-18,BLACK,M,THEFT
209,2024-08-19,WHITE,M,NARCOTICS
210,2024-08-20,BLACK,F,ASSAULT
211,2024-08-21,HISPANIC,M,ROBBERY
212,2024-08-22,BLACK,M,BATTERY
213,2024-08-23,WHITE,M,THEFT
214,2024-08-24,BLACK,F,NARCOTICS
215,2024-08-25,HISPANIC,F,ASSAULT
216,2024-08-26,BLACK,M,BATTERY
217,2024-08-27,WHITE,M,THEFT
218,2024-08-28,BLACK,M,ROBBERY
219,2024-08-29,HISPANIC,M,NARCOTICS
220,2024-08-30,BLACK,F,BATTERY
221,2024-09-01,WHITE,F,THEFT
222,2024-09-02,BLACK,M,ASSAULT
223,2024-09-03,HISPANIC,M,NARCOTICS
224,2024-09-04,BLACK,F,BATTERY
225,2024-09-05,WHITE,M,THEFT
226,2024-09-06,BLACK,M,ROBBERY
227,2024-09-07,HISPANIC,F,ASSAULT
228,2024-09-08,BLACK,M,NARCOTICS
229,2024-09-09,WHITE,M,BATTERY
230,2024-09-10,BLACK,F,THEFT
231,2024-09-11,HISPANIC,M,ROBBERY
232,2024-09-12,BLACK,M,ASSAULT
233,2024-09-13,WHITE,F,NARCOTICS
234,2024-09-14,BLACK,M,BATTERY
235,2024-09-15,HISPANIC,F,THEFT
236,2024-09-16,BLACK,F,ASSAULT
237,2024-09-17,WHITE,M,ROBBERY
238,2024-09-18,BLACK,M,NARCOTICS
239,2024-09-19,ASIAN,F,THEFT
240,2024-09-20,HISPANIC,M,BATTERY
241,2024-09-21,BLACK,M,THEFT
242,2024-09-22,WHITE,F,ASSAULT
243,2024-09-23,BLACK,F,NARCOTICS
244,2024-09-24,HISPANIC,M,BATTERY
245,2024-09-25,BLACK,M,ROBBERY
246,2024-09-26,WHITE,M,THEFT
247,2024-09-27,BLACK,M,ASSAULT
248,2024-09-28,HISPANIC,F,NARCOTICS
249,2024-09-29,BLACK,F,BATTERY
250,2024-09-30,WHITE,M,THEFT
251,2024-10-01,BLACK,M,ROBBERY
252,2024-10-02,HISPANIC,M,ASSAULT
253,2024-10-03,BLACK,F,NARCOTICS
254,2024-10-04,WHITE,F,BATTERY
255,2024-10-05,BLACK,M,THEFT
256,2024-10-06,HISPANIC,M,ROBBERY
257,2024-10-07,BLACK,M,ASSAULT
258,2024-10-08,WHITE,M,NARCOTICS
259,2024-10-09,BLACK,F,BATTERY
260,2024-10-10,HISPANIC,F,THEFT
261,2025-01-03,BLACK,M,THEFT
262,2025-01-05,WHITE,F,BATTERY
263,2025-01-07,HISPANIC,M,NARCOTICS
264,2025-01-08,BLACK,F,ASSAULT
265,2025-01-09,WHITE,M,ROBBERY
266,2025-01-10,BLACK,M,BATTERY
267,2025-01-11,HISPANIC,F,THEFT
268,2025-01-12,BLACK,M,NARCOTICS
269,2025-01-14,WHITE,M,ASSAULT
270,2025-01-15,BLACK,F,BATTERY
271,2025-01-16,HISPANIC,M,THEFT
272,2025-01-17,BLACK,M,ROBBERY
273,2025-01-18,WHITE,F,NARCOTICS
274,2025-01-19,BLACK,M,BATTERY
275,2025-01-21,HISPANIC,F,ASSAULT
276,2025-01-22,BLACK,F,THEFT
277,2025-01-23,WHITE,M,NARCOTICS
278,2025-01-24,BLACK,M,BATTERY
279,2025-01-25,HISPANIC,M,ROBBERY
280,2025-01-26,BLACK,M,THEFT
281,2025-02-01,WHITE,F,ASSAULT
282,2025-02-03,BLACK,M,BATTERY
283,2025-02-05,HISPANIC,F,NARCOTICS
284,2025-02-07,BLACK,M,THEFT
285,2025-02-09,WHITE,M,ROBBERY
286,2025-02-11,BLACK,F,BATTERY
287,2025-02-13,HISPANIC,M,ASSAULT
288,2025-02-15,BLACK,M,NARCOTICS
289,2025-02-17,WHITE,F,THEFT
290,2025-02-19,BLACK,M,BATTERY
291,2025-03-01,HISPANIC,F,ROBBERY
292,2025-03-04,BLACK,M,ASSAULT
293,2025-03-07,WHITE,M,NARCOTICS
294,2025-03-10,BLACK,F,BATTERY
295,2025-03-13,HISPANIC,M,THEFT
296,2025-03-16,BLACK,M,ROBBERY
297,2025-03-19,WHITE,F,ASSAULT
298,2025-03-22,BLACK,M,NARCOTICS
299,2025-03-25,HISPANIC,F,BATTERY
300,2025-03-28,BLACK,M,THEFT
