ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-03,BLACK,F,THEFT
2,2024-01-05,WHITE,M,BATTERY
3,2024-01-07,HISPANIC,M,NARCOTICS
4,2024-01-08,BLACK,M,ASSAULT
5,2024-01-09,WHITE,F,FRAUD
6,2024-01-11,HISPANIC,F,THEFT
7,2024-01-12,BLACK,M,BATTERY
8,2024-01-14,ASIAN,M,NARCOTICS
9,2024-01-15,WHITE,F,THEFT
10,2024-01-16,BLACK,F,ROBBERY
11,2024-01-18,HISPANIC,M,BATTERY
12,2024-01-19,WHITE,M,ASSAULT
13,2024-01-21,BLACK,F,NARCOTICS
14,2024-01-22,HISPANIC,F,THEFT
15,2024-01-24,BLACK,M,WEAPONS VIOLATION
16,2024-01-25,WHITE,F,FRAUD
17,2024-01-27,HISPANIC,M,THEFT
18,2024-01-28,BLACK,M,BATTERY
19,2024-01-30,WHITE,M,NARCOTICS
20,2024-02-01,BLACK,F,ASSAULT
21,2024-02-02,HISPANIC,M,ROBBERY
22,2024-02-04,WHITE,F,THEFT
23,2024-02-05,BLACK,M,BATTERY
24,2024-02-07,ASIAN,F,FRAUD
25,2024-02-08,HISPANIC,M,NARCOTICS
26,2024-02-10,BLACK,F,THEFT
27,2024-02-11,WHITE,M,ASSAULT
28,2024-02-13,BLACK,M,WEAPONS VIOLATION
29,2024-02-14,HISPANIC,F,BATTERY
30,2024-02-16,WHITE,M,THEFT
31,2024-02-17,BLACK,F,NARCOTICS
32,2024-02-19,HISPANIC,M,ROBBERY
33,2024-02-20,WHITE,F,ASSAULT
34,2024-02-22,BLACK,M,BATTERY
35,2024-02-23,ASIAN,M,THEFT
36,2024-02-25,HISPANIC,F,NARCOTICS
37,2024-02-26,BLACK,M,WEAPONS VIOLATION
38,2024-02-28,WHITE,F,FRAUD
39,2024-03-01,BLACK,M,THEFT
40,2024-03-03,HISPANIC,M,BATTERY
41,2024-03-04,WHITE,F,NARCOTICS
42,2024-03-06,BLACK,F,ASSAULT
43,2024-03-07,HISPANIC,M,THEFT
44,2024-03-09,WHITE,M,ROBBERY
45,2024-03-10,BLACK,M,BATTERY
46,2024-03-12,ASIAN,F,THEFT
47,2024-03-13,HISPANIC,F,ASSAULT
48,2024-03-15,BLACK,M,NARCOTICS
49,2024-03-16,WHITE,M,WEAPONS VIOLATION
50,2024-03-18,BLACK,F,THEFT
51,2024-03-19,HISPANIC,M,BATTERY
52,2024-03-21,WHITE,F,FRAUD
53,2024-03-22,BLACK,M,ASSAULT
54,2024-03-24,HISPANIC,F,THEFT
55,2024-03-25,WHITE,M,NARCOTICS
56,2024-03-27,BLACK,M,ROBBERY
57,2024-03-28,ASIAN,M,BATTERY
58,2024-03-30,HISPANIC,F,THEFT
59,2024-04-01,BLACK,F,ASSAULT
60,2024-04-02,WHITE,M,WEAPONS VIOLATION
61,2024-04-04,BLACK,M,NARCOTICS
62,2024-04-05,HISPANIC,F,THEFT
63,2024-04-07,WHITE,F,BATTERY
64,2024-04-08,BLACK,M,ROBBERY
65,2024-04-10,HISPANIC,M,ASSAULT
66,2024-04-11,WHITE,M,THEFT
67,2024-04-13,BLACK,F,NARCOTICS
68,2024-04-14,ASIAN,F,FRAUD
69,2024-04-16,HISPANIC,M,BATTERY
70,2024-04-17,WHITE,M,THEFT
71,2024-04-19,BLACK,F,ASSAULT
72,2024-04-20,HISPANIC,F,NARCOTICS
73,2024-04-22,WHITE,M,WEAPONS VIOLATION
74,2024-04-23,BLACK,M,THEFT
75,2024-04-25,HISPANIC,M,BATTERY
76,2024-04-26,WHITE,F,ROBBERY
77,2024-04-28,BLACK,M,ASSAULT
78,2024-04-29,ASIAN,M,THEFT
79,2024-05-01,HISPANIC,F,NARCOTICS
80,2024-05-02,WHITE,M,BATTERY
81,2024-05-04,BLACK,F,THEFT
82,2024-05-05,HISPANIC,M,WEAPONS VIOLATION
83,2024-05-07,WHITE,F,ASSAULT
84,2024-05-08,BLACK,M,NARCOTICS
85,2024-05-10,HISPANIC,F,THEFT
86,2024-05-11,WHITE,M,ROBBERY
87,2024-05-13,BLACK,M,BATTERY
88,2024-05-14,ASIAN,F,THEFT
89,2024-05-16,HISPANIC,M,ASSAULT
90,2024-05-17,WHITE,F,FRAUD
91,2024-05-19,BLACK,F,NARCOTICS
92,2024-05-20,HISPANIC,M,BATTERY
93,2024-05-22,WHITE,M,THEFT
94,2024-05-23,BLACK,M,WEAPONS VIOLATION
95,2024-05-25,HISPANIC,F,ASSAULT
96,2024-05-26,WHITE,F,THEFT
97,2024-05-28,BLACK,M,ROBBERY
98,2024-05-29,ASIAN,M,NARCOTICS
99,2024-05-31,HISPANIC,M,BATTERY
100,2024-06-01,WHITE,F,THEFT
101,2024-06-03,BLACK,M,ASSAULT
102,2024-06-04,HISPANIC,F,NARCOTICS
103,2024-06-06,WHITE,M,WEAPONS VIOLATION
104,2024-06-07,BLACK,F,THEFT
105,2024-06-09,HISPANIC,M,BATTERY
106,2024-06-10,WHITE,M,ROBBERY
107,2024-06-12,BLACK,M,ASSAULT
108,2024-06-13,ASIAN,F,FRAUD
109,2024-06-15,HISPANIC,F,THEFT
110,2024-06-16,WHITE,F,NARCOTICS
111,2024-06-18,BLACK,M,BATTERY
112,2024-06-19,HISPANIC,M,WEAPONS VIOLATION
113,2024-06-21,WHITE,M,THEFT
114,2024-06-22,BLACK,F,ASSAULT
115,2024-06-24,HISPANIC,F,NARCOTICS
116,2024-06-25,WHITE,M,ROBBERY
117,2024-06-27,BLACK,M,BATTERY
118,2024-06-28,ASIAN,M,THEFT
119,2024-06-30,HISPANIC,F,ASSAULT
120,2024-07-01,WHITE,F,THEFT
121,2024-07-03,BLACK,M,WEAPONS VIOLATION
122,2024-07-04,HISPANIC,M,NARCOTICS
123,2024-07-06,WHITE,F,BATTERY
124,2024-07-07,BLACK,F,THEFT
125,2024-07-09,HISPANIC,M,ASSAULT
126,2024-07-10,WHITE,M,ROBBERY
127,2024-07-12,BLACK,M,NARCOTICS
128,2024-07-13,ASIAN,F,THEFT
129,2024-07-15,HISPANIC,F,BATTERY
130,2024-07-16,WHITE,M,WEAPONS VIOLATION
131,2024-07-18,BLACK,F,ASSAULT
132,2024-07-19,HISPANIC,M,THEFT
133,2024-07-21,WHITE,F,NARCOTICS
134,2024-07-22,BLACK,M,ROBBERY
135,2024-07-24,HISPANIC,F,BATTERY
136,2024-07-25,WHITE,M,THEFT
137,2024-07-27,BLACK,M,ASSAULT
138,2024-07-28,ASIAN,M,FRAUD
139,2024-07-30,HISPANIC,F,NARCOTICS
140,2024-08-01,WHITE,M,THEFT
141,2024-08-02,BLACK,F,BATTERY
142,2024-08-04,HISPANIC,M,WEAPONS VIOLATION
143,2024-08-05,WHITE,F,ASSAULT
144,2024-08-07,BLACK,M,THEFT
145,2024-08-08,HISPANIC,F,NARCOTICS
146,2024-08-10,WHITE,M,ROBBERY
147,2024-08-11,BLACK,M,BATTERY
148,2024-08-13,ASIAN,F,THEFT
149,2024-08-14,HISPANIC,M,ASSAULT
150,2024-08-16,WHITE,F,FRAUD
151,2024-08-17,BLACK,F,NARCOTICS
152,2024-08-19,HISPANIC,M,WEAPONS VIOLATION
153,2024-08-20,WHITE,M,THEFT
154,2024-08-22,BLACK,M,BATTERY
155,2024-08-23,HISPANIC,F,ROBBERY
156,2024-08-25,WHITE,F,ASSAULT
157,2024-08-26,BLACK,M,NARCOTICS
158,2024-08-28,ASIAN,M,THEFT
159,2024-08-29,HISPANIC,F,BATTERY
160,2024-08-31,WHITE,M,WEAPONS VIOLATION
161,2024-09-01,BLACK,F,THEFT
162,2024-09-03,HISPANIC,M,ASSAULT
163,2024-09-04,WHITE,M,NARCOTICS
164,2024-09-06,BLACK,M,ROBBERY
165,2024-09-07,HISPANIC,F,BATTERY
166,2024-09-09,WHITE,F,THEFT
167,2024-09-10,BLACK,M,ASSAULT
168,2024-09-12,ASIAN,F,FRAUD
169,2024-09-13,HISPANIC,M,NARCOTICS
170,2024-09-15,WHITE,M,THEFT
171,2024-09-16,BLACK,F,BATTERY
172,2024-09-18,HISPANIC,F,WEAPONS VIOLATION
173,2024-09-19,WHITE,M,ASSAULT
174,2024-09-21,BLACK,M,THEFT
175,2024-09-22,HISPANIC,M,ROBBERY
176,2024-09-24,WHITE,F,NARCOTICS
177,2024-09-25,BLACK,F,BATTERY
178,2024-09-27,ASIAN,M,THEFT
179,2024-09-28,HISPANIC,M,ASSAULT
180,2024-09-30,WHITE,M,WEAPONS VIOLATION
181,2024-10-01,BLACK,F,NARCOTICS
182,2024-10-03,HISPANIC,M,THEFT
183,2024-10-04,WHITE,F,BATTERY
184,2024-10-06,BLACK,M,ROBBERY
185,2024-10-07,HISPANIC,F,ASSAULT
186,2024-10-09,WHITE,M,THEFT
187,2024-10-10,BLACK,M,NARCOTICS
188,2024-10-12,ASIAN,F,FRAUD
189,2024-10-13,HISPANIC,M,BATTERY
190,2024-10-15,WHITE,F,WEAPONS VIOLATION
191,2024-10-16,BLACK,F,THEFT
192,2024-10-18,HISPANIC,M,ASSAULT
193,2024-10-19,WHITE,M,NARCOTICS
194,2024-10-21,BLACK,M,ROBBERY
195,2024-10-22,HISPANIC,F,BATTERY
196,2024-10-24,WHITE,F,THEFT
197,2024-10-25,BLACK,M,ASSAULT
198,2024-10-27,ASIAN,M,NARCOTICS
199,2024-10-28,HISPANIC,F,WEAPONS VIOLATION
200,2024-10-30,WHITE,M,THEFT
201,2024-11-01,BLACK,F,BATTERY
202,2024-11-02,HISPANIC,M,ROBBERY
203,2024-11-04,WHITE,M,ASSAULT
204,2024-11-05,BLACK,M,NARCOTICS
205,2024-11-07,HISPANIC,F,THEFT
206,2024-11-08,WHITE,F,BATTERY
207,2024-11-10,BLACK,M,WEAPONS VIOLATION
208,2024-11-11,ASIAN,F,THEFT
209,2024-11-13,HISPANIC,M,ASSAULT
210,2024-11-14,WHITE,M,NARCOTICS
211,2024-11-16,BLACK,F,ROBBERY
212,2024-11-17,HISPANIC,F,BATTERY
213,2024-11-19,WHITE,M,THEFT
214,2024-11-20,BLACK,M,ASSAULT
215,2024-11-22,HISPANIC,M,NARCOTICS
216,2024-11-23,WHITE,F,FRAUD
217,2024-11-25,BLACK,F,THEFT
218,2024-11-26,ASIAN,M,BATTERY
219,2024-11-28,HISPANIC,M,WEAPONS VIOLATION
220,2024-11-29,WHITE,M,ASSAULT
221,2024-12-01,BLACK,M,NARCOTICS
222,2024-12-02,HISPANIC,F,THEFT
223,2024-12-04,WHITE,F,ROBBERY
224,2024-12-05,BLACK,M,BATTERY
225,2024-12-07,HISPANIC,M,ASSAULT
226,2024-12-08,WHITE,M,THEFT
227,2024-12-10,BLACK,F,NARCOTICS
228,2024-12-11,ASIAN,F,FRAUD
229,2024-12-13,HISPANIC,F,WEAPONS VIOLATION
230,2024-12-14,WHITE,M,BATTERY
231,2024-12-16,BLACK,M,THEFT
232,2024-12-17,HISPANIC,M,ASSAULT
233,2024-12-19,WHITE,F,NARCOTICS
234,2024-12-20,BLACK,F,ROBBERY
235,2024-12-22,HISPANIC,M,BATTERY
236,2024-12-23,WHITE,M,THEFT
237,2024-12-25,BLACK,M,ASSAULT
238,2024-12-26,ASIAN,M,NARCOTICS
239,2024-12-28,HISPANIC,F,WEAPONS VIOLATION
240,2024-12-30,WHITE,F,THEFT
241,2025-01-02,BLACK,M,BATTERY
242,2025-01-04,HISPANIC,F,ROBBERY
243,2025-01-05,WHITE,M,ASSAULT
244,2025-01-07,BLACK,F,NARCOTICS
245,2025-01-08,HISPANIC,M,THEFT
246,2025-01-10,WHITE,F,BATTERY
247,2025-01-11,BLACK,M,WEAPONS VIOLATION
248,2025-01-13,ASIAN,M,THEFT
249,2025-01-14,HISPANIC,F,ASSAULT
250,2025-01-16,WHITE,M,NARCOTICS
251,2025-01-17,BLACK,F,ROBBERY
252,2025-01-19,HISPANIC,M,BATTERY
253,2025-01-20,WHITE,F,THEFT
254,2025-01-22,BLACK,M,ASSAULT
255,2025-01-23,HISPANIC,F,NARCOTICS
256,2025-01-25,WHITE,M,WEAPONS VIOLATION
257,2025-01-26,BLACK,M,THEFT
258,2025-01-28,ASIAN,F,FRAUD
259,2025-01-29,HISPANIC,M,BATTERY
260,2025-01-31,WHITE,F,ASSAULT
261,2025-02-02,BLACK,F,NARCOTICS
262,2025-02-03,HISPANIC,M,THEFT
263,2025-02-05,WHITE,M,ROBBERY
264,2025-02-06,BLACK,M,BATTERY
265,2025-02-08,HISPANIC,F,ASSAULT
266,2025-02-09,WHITE,F,THEFT
267,2025-02-11,BLACK,M,WEAPONS VIOLATION
268,2025-02-12,ASIAN,M,NARCOTICS
269,2025-02-14,HISPANIC,M,BATTERY
270,2025-02-15,WHITE,M,THEFT
271,2025-02-17,BLACK,F,ASSAULT
272,2025-02-18,HISPANIC,F,ROBBERY
273,2025-02-20,WHITE,M,NARCOTICS
274,2025-02-21,BLACK,M,BATTERY
275,2025-02-23,HISPANIC,M,THEFT
276,2025-02-24,WHITE,F,WEAPONS VIOLATION
277,2025-02-26,BLACK,F,ASSAULT
278,2025-02-27,ASIAN,F,FRAUD
279,2025-03-01,HISPANIC,M,NARCOTICS
280,2025-03-02,WHITE,M,THEFT
281,2025-03-04,BLACK,M,BATTERY
282,2025-03-05,HISPANIC,F,ROBBERY
283,2025-03-07,WHITE,F,ASSAULT
284,2025-03-08,BLACK,F,NARCOTICS
285,2025-03-10,HISPANIC,M,THEFT
286,2025-03-11,WHITE,M,BATTERY
287,2025-03-13,BLACK,M,WEAPONS VIOLATION
288,2025-03-14,ASIAN,M,THEFT
289,2025-03-16,HISPANIC,F,ASSAULT
290,2025-03-17,WHITE,F,NARCOTICS
291,2025-03-19,BLACK,M,ROBBERY
