COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
10000001,01/03/2024,08:15,Brooklyn,M,Driver Inattention/Distraction,Sedan
10000002,01/05/2024,17:42,Queens,F,Unsafe Speed,SUV
10000003,01/07/2024,22:10,Manhattan,M,Failure to Yield Right-of-Way,Taxi
10000004,01/09/2024,06:30,Bronx,M,Following Too Closely,Sedan
10000005,01/11/2024,14:55,Staten Island,F,Driver Inattention/Distraction,SUV
10000006,01/13/2024,09:20,Brooklyn,M,Traffic Control Disregarded,Pick-up Truck
10000007,01/15/2024,19:05,Queens,NaN,Unsafe Speed,Sedan
10000008,01/17/2024,11:35,Manhattan,F,Failure to Yield Right-of-Way,SUV
10000009,01/19/2024,23:50,Bronx,M,Driver Inattention/Distraction,Sedan
10000010,01/21/2024,07:15,Staten Island,M,Unsafe Lane Changing,Pick-up Truck
10000011,01/23/2024,16:40,Brooklyn,F,Following Too Closely,Sedan
10000012,01/25/2024,13:25,Queens,M,Driver Inattention/Distraction,SUV
10000013,01/27/2024,20:10,Manhattan,M,Traffic Control Disregarded,Taxi
10000014,01/29/2024,08:55,Bronx,F,Unsafe Speed,Sedan
10000015,01/31/2024,15:30,Staten Island,M,Driver Inattention/Distraction,SUV
10000016,02/02/2024,10:45,Brooklyn,M,Failure to Yield Right-of-Way,Sedan
10000017,02/04/2024,18:20,Queens,F,Following Too Closely,SUV
10000018,02/06/2024,07:05,Manhattan,M,Unsafe Speed,Taxi
10000019,02/08/2024,21:35,Bronx,M,Driver Inattention/Distraction,Sedan
10000020,02/10/2024,12:50,Staten Island,F,Traffic Control Disregarded,Pick-up Truck
10000021,02/12/2024,09:15,Brooklyn,M,Unsafe Lane Changing,Sedan
10000022,02/14/2024,17:00,Queens,M,Driver Inattention/Distraction,SUV
10000023,02/16/2024,14:30,Manhattan,F,Failure to Yield Right-of-Way,Taxi
10000024,02/18/2024,06:45,Bronx,M,Following Too Closely,Sedan
10000025,02/20/2024,22:20,Staten Island,M,Unsafe Speed,SUV
10000026,02/22/2024,11:10,Brooklyn,F,Driver Inattention/Distraction,Sedan
10000027,02/24/2024,19:55,Queens,M,Traffic Control Disregarded,Pick-up Truck
10000028,02/26/2024,08:30,Manhattan,NaN,Driver Inattention/Distraction,Taxi
10000029,02/28/2024,16:15,Bronx,M,Unsafe Lane Changing,Sedan
10000030,03/01/2024,13:40,Staten Island,F,Failure to Yield Right-of-Way,SUV
10000031,03/03/2024,07:55,Brooklyn,M,Driver Inattention/Distraction,Sedan
10000032,03/05/2024,20:30,Queens,M,Unsafe Speed,SUV
10000033,03/07/2024,10:05,Manhattan,F,Following Too Closely,Taxi
10000034,03/09/2024,23:20,Bronx,M,Traffic Control Disregarded,Sedan
10000035,03/11/2024,15:45,Staten Island,M,Driver Inattention/Distraction,Pick-up Truck
10000036,03/13/2024,09:10,Brooklyn,F,Unsafe Lane Changing,Sedan
10000037,03/15/2024,17:35,Queens,M,Driver Inattention/Distraction,SUV
10000038,03/17/2024,12:00,Manhattan,M,Failure to Yield Right-of-Way,Taxi
10000039,03/19/2024,06:25,Bronx,F,Unsafe Speed,Sedan
10000040,03/21/2024,21:50,Staten Island,M,Following Too Closely,SUV
10000041,03/23/2024,14:15,Brooklyn,M,Driver Inattention/Distraction,Sedan
10000042,03/25/2024,08:40,Queens,NaN,Traffic Control Disregarded,Pick-up Truck
10000043,03/27/2024,19:05,Manhattan,M,Unsafe Speed,Taxi
10000044,03/29/2024,11:30,Bronx,F,Driver Inattention/Distraction,Sedan
10000045,03/31/2024,16:55,Staten Island,M,Unsafe Lane Changing,SUV
10000046,04/02/2024,10:20,Brooklyn,M,Failure to Yield Right-of-Way,Sedan
10000047,04/04/2024,22:45,Queens,F,Following Too Closely,SUV
10000048,04/06/2024,07:10,Manhattan,M,Driver Inattention/Distraction,Taxi
10000049,04/08/2024,15:35,Bronx,M,Unsafe Speed,Sedan
10000050,04/10/2024,09:00,Staten Island,F,Traffic Control Disregarded,Pick-up Truck
10000051,04/12/2024,18:25,Brooklyn,M,Driver Inattention/Distraction,Sedan
10000052,04/14/2024,13:50,Queens,M,Unsafe Lane Changing,SUV
10000053,04/16/2024,06:15,Manhattan,F,Failure to Yield Right-of-Way,Taxi
10000054,04/18/2024,20:40,Bronx,M,Following Too Closely,Sedan
10000055,04/20/2024,12:05,Staten Island,M,Driver Inattention/Distraction,SUV
10000056,04/22/2024,17:30,Brooklyn,F,Unsafe Speed,Sedan
10000057,04/24/2024,08:55,Queens,M,Traffic Control Disregarded,Pick-up Truck
10000058,04/26/2024,23:20,Manhattan,NaN,Driver Inattention/Distraction,Taxi
