COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE
1,2024-01-03,08:14,BROOKLYN,M,Driver Inattention/Distraction,Sedan
2,2024-01-05,17:42,QUEENS,F,Failure to Yield Right-of-Way,SUV
3,2024-01-08,23:11,MANHATTAN,M,Unsafe Speed,Taxi
4,2024-01-10,12:36,BRONX,M,Backing Unsafely,Van
5,2024-01-12,09:27,BROOKLYN,F,Following Too Closely,SUV
6,2024-01-13,14:55,STATEN ISLAND,F,Driver Inattention/Distraction,Sedan
7,2024-01-14,19:04,MANHATTAN,M,Failure to Yield Right-of-Way,Sedan
8,2024-01-15,07:18,QUEENS,M,Unsafe Speed,Motorcycle
9,2024-01-17,21:33,BRONX,F,Backing Unsafely,SUV
10,2024-01-18,11:09,BROOKLYN,M,Driver Inattention/Distraction,Pickup Truck
11,2024-01-20,16:47,MANHATTAN,M,Following Too Closely,Taxi
12,2024-01-22,13:12,QUEENS,F,Driver Inattention/Distraction,Sedan
13,2024-01-23,18:55,BROOKLYN,M,Failure to Yield Right-of-Way,SUV
14,2024-01-25,20:21,BRONX,M,Unsafe Speed,Van
15,2024-01-26,06:40,STATEN ISLAND,M,Following Too Closely,Sedan
16,2024-01-28,15:33,MANHATTAN,M,Driver Inattention/Distraction,Taxi
17,2024-01-30,10:05,QUEENS,M,Backing Unsafely,Motorcycle
18,2024-02-01,22:18,BROOKLYN,F,Unsafe Speed,SUV
19,2024-02-03,09:45,BRONX,M,Failure to Yield Right-of-Way,Pickup Truck
20,2024-02-04,12:22,MANHATTAN,M,Driver Inattention/Distraction,Sedan
21,2024-02-06,18:09,QUEENS,F,Following Too Closely,SUV
22,2024-02-08,14:44,BROOKLYN,M,Unsafe Speed,Sedan
23,2024-02-10,07:16,STATEN ISLAND,F,Driver Inattention/Distraction,Pickup Truck
24,2024-02-12,19:59,MANHATTAN,M,Backing Unsafely,Taxi
25,2024-02-14,08:30,BRONX,M,Failure to Yield Right-of-Way,SUV
26,2024-02-16,17:08,BROOKLYN,M,Driver Inattention/Distraction,Van
27,2024-02-18,21:42,QUEENS,M,Unsafe Speed,Sedan
28,2024-02-20,10:57,MANHATTAN,M,Following Too Closely,Taxi
29,2024-02-22,12:49,BROOKLYN,F,Backing Unsafely,SUV
30,2024-02-24,09:18,STATEN ISLAND,M,Failure to Yield Right-of-Way,Pickup Truck
31,2024-02-25,16:33,QUEENS,F,Driver Inattention/Distraction,Sedan
32,2024-02-27,11:21,BRONX,M,Unsafe Speed,Van
33,2024-02-29,20:02,BROOKLYN,M,Following Too Closely,SUV
34,2024-03-02,13:44,MANHATTAN,M,Driver Inattention/Distraction,Taxi
35,2024-03-04,07:28,QUEENS,M,Failure to Yield Right-of-Way,Motorcycle
36,2024-03-06,18:11,BRONX,F,Backing Unsafely,Sedan
37,2024-03-07,15:03,BROOKLYN,M,Unsafe Speed,Pickup Truck
38,2024-03-09,09:57,STATEN ISLAND,F,Following Too Closely,SUV
39,2024-03-11,22:46,MANHATTAN,M,Driver Inattention/Distraction,Taxi
40,2024-03-13,08:33,QUEENS,M,Unsafe Speed,Sedan
41,2024-03-15,12:19,BROOKLYN,F,Failure to Yield Right-of-Way,SUV
42,2024-03-16,19:25,BRONX,M,Driver Inattention/Distraction,Van
43,2024-03-18,14:42,MANHATTAN,M,Following Too Closely,Taxi
44,2024-03-20,11:31,QUEENS,F,Backing Unsafely,Motorcycle
45,2024-03-22,16:16,BROOKLYN,M,Unsafe Speed,Sedan
46,2024-03-24,20:05,STATEN ISLAND,M,Driver Inattention/Distraction,Pickup Truck
47,2024-03-26,09:12,MANHATTAN,M,Failure to Yield Right-of-Way,Taxi
48,2024-03-28,07:48,BRONX,F,Following Too Closely,SUV
49,2024-03-30,13:39,BROOKLYN,M,Driver Inattention/Distraction,Van
50,2024-04-01,18:22,QUEENS,M,Unsafe Speed,Sedan
51,2024-04-03,08:09,MANHATTAN,M,Backing Unsafely,Taxi
52,2024-04-05,21:44,BROOKLYN,F,Failure to Yield Right-of-Way,SUV
53,2024-04-06,14:31,STATEN ISLAND,F,Following Too Closely,Pickup Truck
54,2024-04-08,10:19,QUEENS,M,Driver Inattention/Distraction,Motorcycle
55,2024-04-10,16:05,BRONX,M,Unsafe Speed,Van
56,2024-04-12,19:49,MANHATTAN,M,Driver Inattention/Distraction,Taxi
57,2024-04-14,09:27,BROOKLYN,M,Backing Unsafely,SUV
