COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
5000001,2024-01-03,07:32,Brooklyn,M,Driver Inattention/Distraction,Sedan
5000002,2024-01-05,18:11,Queens,F,Failure to Yield Right-of-Way,SUV
5000003,2024-01-06,22:44,Manhattan,M,Unsafe Speed,Taxi
5000004,2024-01-07,09:15,Bronx,M,Following Too Closely,SUV
5000005,2024-01-08,16:03,Brooklyn,F,Driver Inattention/Distraction,Sedan
5000006,2024-01-10,11:21,Queens,NaN,Backing Unsafely,Van
5000007,2024-01-11,20:37,Manhattan,M,Traffic Control Disregarded,Sedan
5000008,2024-01-13,14:42,Brooklyn,F,Failure to Yield Right-of-Way,SUV
5000009,2024-01-14,23:18,Queens,M,Unsafe Speed,Motorcycle
5000010,2024-01-15,08:55,Staten Island,F,Following Too Closely,Pick-up Truck
5000011,2024-01-17,17:26,Brooklyn,M,Driver Inattention/Distraction,Sedan
5000012,2024-01-19,12:33,Queens,F,Turning Improperly,SUV
5000013,2024-01-20,21:49,Manhattan,M,Alcohol Involvement,Taxi
5000014,2024-01-21,06:58,Bronx,NaN,Following Too Closely,Box Truck
5000015,2024-01-23,15:12,Brooklyn,F,Driver Inattention/Distraction,Sedan
5000016,2024-01-24,19:47,Queens,M,Failure to Yield Right-of-Way,SUV
5000017,2024-01-26,13:05,Manhattan,F,Traffic Control Disregarded,Sedan
5000018,2024-01-27,22:10,Brooklyn,M,Unsafe Speed,Motorcycle
5000019,2024-01-28,10:41,Queens,F,Following Too Closely,Van
5000020,2024-01-30,16:22,Staten Island,M,Backing Unsafely,Pick-up Truck
5000021,2024-02-02,07:12,Brooklyn,F,Driver Inattention/Distraction,SUV
5000022,2024-02-03,18:54,Queens,M,Failure to Yield Right-of-Way,Sedan
5000023,2024-02-04,23:16,Manhattan,F,Unsafe Speed,Taxi
5000024,2024-02-06,09:40,Bronx,M,Following Too Closely,SUV
5000025,2024-02-07,14:33,Brooklyn,M,Driver Inattention/Distraction,Sedan
5000026,2024-02-09,11:09,Queens,F,Turning Improperly,Van
5000027,2024-02-10,20:28,Manhattan,M,Traffic Control Disregarded,Sedan
5000028,2024-02-11,15:55,Brooklyn,F,Failure to Yield Right-of-Way,SUV
5000029,2024-02-12,22:07,Queens,NaN,Unsafe Speed,Motorcycle
5000030,2024-02-14,08:44,Staten Island,M,Following Too Closely,Pick-up Truck
5000031,2024-02-16,17:20,Brooklyn,F,Driver Inattention/Distraction,Sedan
5000032,2024-02-18,12:38,Queens,M,Failure to Yield Right-of-Way,SUV
5000033,2024-02-19,21:51,Manhattan,F,Alcohol Involvement,Taxi
5000034,2024-02-20,06:34,Bronx,M,Following Too Closely,Box Truck
5000035,2024-02-22,15:46,Brooklyn,M,Driver Inattention/Distraction,Sedan
5000036,2024-02-23,19:29,Queens,F,Turning Improperly,SUV
5000037,2024-02-24,13:22,Manhattan,M,Traffic Control Disregarded,Sedan
5000038,2024-02-25,22:14,Brooklyn,F,Unsafe Speed,Motorcycle
5000039,2024-02-27,10:27,Queens,M,Following Too Closely,Van
5000040,2024-02-28,16:58,Staten Island,F,Backing Unsafely,Pick-up Truck
5000041,2024-03-02,07:48,Brooklyn,M,Driver Inattention/Distraction,SUV
5000042,2024-03-03,18:25,Queens,F,Failure to Yield Right-of-Way,Sedan
5000043,2024-03-04,23:02,Manhattan,M,Unsafe Speed,Taxi
5000044,2024-03-06,09:31,Bronx,F,Following Too Closely,SUV
5000045,2024-03-07,14:19,Brooklyn,M,Driver Inattention/Distraction,Sedan
5000046,2024-03-08,11:44,Queens,NaN,Turning Improperly,Van
5000047,2024-03-09,20:59,Manhattan,M,Traffic Control Disregarded,Sedan
5000048,2024-03-10,15:03,Brooklyn,F,Failure to Yield Right-of-Way,SUV
5000049,2024-03-12,22:35,Queens,M,Unsafe Speed,Motorcycle
5000050,2024-03-13,08:22,Staten Island,F,Following Too Closely,Pick-up Truck
5000051,2024-03-15,17:17,Brooklyn,M,Driver Inattention/Distraction,Sedan
5000052,2024-03-17,12:49,Queens,F,Failure to Yield Right-of-Way,SUV
5000053,2024-03-18,21:36,Manhattan,M,Alcohol Involvement,Taxi
5000054,2024-03-19,06:27,Bronx,M,Following Too Closely,Box Truck
