COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
1000001,2024-01-03,08:14,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000002,2024-01-04,17:42,Queens,F,Failure to Yield Right-of-Way,SUV
1000003,2024-01-05,22:10,Bronx,M,Unsafe Speed,Sedan
1000004,2024-01-06,13:28,Manhattan,F,Following Too Closely,Taxi
1000005,2024-01-06,09:11,Brooklyn,M,Backing Unsafely,Van
1000006,2024-01-07,19:55,Queens,M,Driver Inattention/Distraction,SUV
1000007,2024-01-08,07:36,Bronx,F,Failure to Yield Right-of-Way,Sedan
1000008,2024-01-08,23:41,Brooklyn,M,Unsafe Speed,Motorcycle
1000009,2024-01-09,16:07,Queens,NaN,Following Too Closely,SUV
1000010,2024-01-10,12:54,Manhattan,F,Traffic Control Disregarded,Taxi
1000011,2024-01-11,18:33,Brooklyn,M,Passing Too Closely,Sedan
1000012,2024-01-12,21:02,Queens,F,Driver Inattention/Distraction,SUV
1000013,2024-01-13,14:27,Bronx,M,Failure to Yield Right-of-Way,Pick-up Truck
1000014,2024-01-14,06:48,Brooklyn,F,Following Too Closely,Sedan
1000015,2024-01-15,11:19,Queens,M,Turning Improperly,SUV
1000016,2024-01-15,20:05,Manhattan,M,Driver Inattention/Distraction,Taxi
1000017,2024-01-16,09:56,Brooklyn,F,Backing Unsafely,Van
1000018,2024-01-17,17:22,Queens,M,Unsafe Speed,Sedan
1000019,2024-01-18,23:11,Bronx,M,Alcohol Involvement,SUV
1000020,2024-01-19,15:44,Brooklyn,F,Failure to Yield Right-of-Way,Sedan
1000021,2024-01-20,07:29,Queens,M,Driver Inattention/Distraction,Box Truck
1000022,2024-01-21,13:03,Manhattan,F,Traffic Control Disregarded,Taxi
1000023,2024-01-22,18:47,Brooklyn,M,Following Too Closely,SUV
1000024,2024-01-23,21:36,Queens,NaN,Unsafe Speed,Sedan
1000025,2024-01-24,10:14,Bronx,F,Failure to Yield Right-of-Way,Van
1000026,2024-01-25,16:55,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000027,2024-01-26,08:02,Queens,M,Passing Too Closely,SUV
1000028,2024-01-27,19:31,Manhattan,F,Following Too Closely,Taxi
1000029,2024-01-28,22:44,Brooklyn,M,Unsafe Speed,Motorcycle
1000030,2024-01-29,12:37,Queens,F,Turning Improperly,Sedan
1000031,2024-02-01,07:51,Bronx,M,Driver Inattention/Distraction,SUV
1000032,2024-02-02,14:12,Brooklyn,F,Failure to Yield Right-of-Way,Sedan
1000033,2024-02-03,18:22,Queens,M,Following Too Closely,SUV
1000034,2024-02-04,21:45,Manhattan,M,Traffic Control Disregarded,Taxi
1000035,2024-02-05,09:33,Brooklyn,F,Backing Unsafely,Van
1000036,2024-02-06,16:26,Queens,M,Driver Inattention/Distraction,Sedan
1000037,2024-02-07,20:17,Bronx,M,Unsafe Speed,Pick-up Truck
1000038,2024-02-08,11:48,Brooklyn,F,Failure to Yield Right-of-Way,SUV
1000039,2024-02-09,06:52,Queens,M,Following Too Closely,Sedan
1000040,2024-02-10,23:16,Manhattan,NaN,Alcohol Involvement,Taxi
1000041,2024-02-11,17:39,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000042,2024-02-12,12:05,Queens,F,Passing Too Closely,SUV
1000043,2024-02-13,08:44,Bronx,M,Failure to Yield Right-of-Way,Van
1000044,2024-02-14,19:02,Brooklyn,F,Following Too Closely,Sedan
1000045,2024-02-15,21:50,Queens,M,Unsafe Speed,SUV
1000046,2024-02-16,15:07,Manhattan,F,Traffic Control Disregarded,Taxi
1000047,2024-02-17,10:26,Brooklyn,M,Turning Improperly,Sedan
1000048,2024-02-18,07:35,Queens,F,Driver Inattention/Distraction,SUV
1000049,2024-02-19,13:59,Bronx,M,Fatigued/Drowsy Driving,Box Truck
1000050,2024-02-20,18:41,Brooklyn,M,Failure to Yield Right-of-Way,Sedan
1000051,2024-02-21,22:13,Queens,F,Following Too Closely,SUV
1000052,2024-02-22,09:15,Manhattan,M,Traffic Control Disregarded,Taxi
1000053,2024-02-23,14:49,Brooklyn,F,Driver Inattention/Distraction,Van
1000054,2024-02-24,17:22,Queens,M,Unsafe Speed,Sedan
1000055,2024-02-25,20:30,Bronx,M,Failure to Yield Right-of-Way,SUV
1000056,2024-02-26,11:54,Brooklyn,F,Following Too Closely,Sedan
1000057,2024-02-27,08:13,Queens,M,Passing Too Closely,Pick-up Truck
1000058,2024-02-28,16:37,Manhattan,F,Traffic Control Disregarded,Taxi
1000059,2024-02-29,23:03,Brooklyn,M,Alcohol Involvement,SUV
1000060,2024-03-01,12:42,Queens,F,Turning Improperly,Sedan
1000061,2024-03-02,07:27,Bronx,M,Driver Inattention/Distraction,SUV
1000062,2024-03-03,15:16,Brooklyn,F,Failure to Yield Right-of-Way,Sedan
1000063,2024-03-04,18:08,Queens,M,Following Too Closely,SUV
1000064,2024-03-05,21:44,Manhattan,M,Traffic Control Disregarded,Taxi
1000065,2024-03-06,10:25,Brooklyn,F,Backing Unsafely,Van
1000066,2024-03-07,16:51,Queens,M,Driver Inattention/Distraction,Sedan
1000067,2024-03-08,19:38,Bronx,M,Unsafe Speed,Pick-up Truck
1000068,2024-03-09,13:11,Brooklyn,F,Failure to Yield Right-of-Way,SUV
1000069,2024-03-10,08:07,Queens,M,Following Too Closely,Sedan
1000070,2024-03-11,23:55,Manhattan,NaN,Alcohol Involvement,Taxi
1000071,2024-03-12,17:20,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000072,2024-03-13,12:49,Queens,F,Passing Too Closely,SUV
1000073,2024-03-14,09:02,Bronx,M,Failure to Yield Right-of-Way,Van
1000074,2024-03-15,19:40,Brooklyn,F,Following Too Closely,Sedan
1000075,2024-03-16,22:18,Queens,M,Unsafe Speed,SUV
1000076,2024-03-17,14:04,Manhattan,F,Traffic Control Disregarded,Taxi
1000077,2024-03-18,10:32,Brooklyn,M,Turning Improperly,Sedan
1000078,2024-03-19,07:41,Queens,F,Driver Inattention/Distraction,SUV
1000079,2024-03-20,13:58,Bronx,M,Fatigued/Drowsy Driving,Box Truck
1000080,2024-03-21,18:27,Brooklyn,M,Failure to Yield Right-of-Way,Sedan
1000081,2024-03-22,22:11,Queens,F,Following Too Closely,SUV
1000082,2024-03-23,09:09,Manhattan,M,Traffic Control Disregarded,Taxi
1000083,2024-03-24,14:52,Brooklyn,F,Driver Inattention/Distraction,Van
1000084,2024-03-25,17:05,Queens,M,Unsafe Speed,Sedan
1000085,2024-03-26,20:33,Bronx,M,Failure to Yield Right-of-Way,SUV
1000086,2024-03-27,11:47,Brooklyn,F,Following Too Closely,Sedan
1000087,2024-03-28,08:24,Queens,M,Passing Too Closely,Pick-up Truck
1000088,2024-03-29,16:40,Manhattan,F,Traffic Control Disregarded,Taxi
1000089,2024-03-30,23:14,Brooklyn,M,Alcohol Involvement,SUV
1000090,2024-03-31,12:31,Queens,F,Turning Improperly,Sedan
1000091,2024-04-02,07:55,Bronx,M,Driver Inattention/Distraction,SUV
1000092,2024-04-03,15:44,Brooklyn,F,Failure to Yield Right-of-Way,Sedan
1000093,2024-04-04,18:29,Queens,M,Following Too Closely,SUV
1000094,2024-04-05,21:37,Manhattan,M,Traffic Control Disregarded,Taxi
1000095,2024-04-06,10:12,Brooklyn,F,Backing Unsafely,Van
1000096,2024-04-07,16:58,Queens,M,Driver Inattention/Distraction,Sedan
1000097,2024-04-08,19:46,Bronx,M,Unsafe Speed,Pick-up Truck
1000098,2024-04-09,13:18,Brooklyn,F,Failure to Yield Right-of-Way,SUV
1000099,2024-04-10,08:03,Queens,M,Following Too Closely,Sedan
1000100,2024-04-11,23:49,Manhattan,NaN,Alcohol Involvement,Taxi
1000101,2024-05-01,08:11,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000102,2024-05-02,17:23,Queens,F,Failure to Yield Right-of-Way,SUV
1000103,2024-05-03,21:55,Bronx,M,Unsafe Speed,Sedan
1000104,2024-05-04,14:07,Manhattan,F,Following Too Closely,Taxi
1000105,2024-05-05,09:42,Brooklyn,M,Backing Unsafely,Van
1000106,2024-05-06,19:14,Queens,M,Driver Inattention/Distraction,SUV
1000107,2024-05-07,07:36,Bronx,F,Failure to Yield Right-of-Way,Sedan
1000108,2024-05-08,23:19,Brooklyn,M,Unsafe Speed,Motorcycle
