COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
1000001,01/01/2024,00:05,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000002,01/02/2024,00:12,Queens,F,Following Too Closely,SUV
1000003,01/03/2024,00:19,Manhattan,NaN,Unsafe Speed,Taxi
1000004,01/04/2024,00:26,Bronx,M,Failure to Yield Right-of-Way,Van
1000005,01/05/2024,00:33,Staten Island,F,Backing Unsafely,Pick-up Truck
1000006,01/06/2024,00:40,Brooklyn,M,Passing Too Closely,Box Truck
1000007,01/07/2024,00:47,Queens,NaN,Turning Improperly,Sedan
1000008,01/08/2024,00:54,Manhattan,F,Traffic Control Disregarded,Bus
1000009,01/09/2024,01:01,Bronx,M,Alcohol Involvement,SUV
1000010,01/10/2024,01:08,Staten Island,F,Fatigued/Drowsy,Motorcycle
1000011,01/11/2024,01:15,Brooklyn,NaN,Driver Inattention/Distraction,Sedan
1000012,01/12/2024,01:22,Queens,M,Following Too Closely,SUV
1000013,01/13/2024,01:29,Manhattan,F,Unsafe Speed,Taxi
1000014,01/14/2024,01:36,Bronx,M,Failure to Yield Right-of-Way,Van
1000015,01/15/2024,01:43,Staten Island,NaN,Backing Unsafely,Pick-up Truck
1000016,01/16/2024,01:50,Brooklyn,F,Passing Too Closely,Box Truck
1000017,01/17/2024,01:57,Queens,M,Turning Improperly,Sedan
1000018,01/18/2024,02:04,Manhattan,NaN,Traffic Control Disregarded,Bus
1000019,01/19/2024,02:11,Bronx,F,Alcohol Involvement,SUV
1000020,01/20/2024,02:18,Staten Island,M,Fatigued/Drowsy,Motorcycle
1000021,01/21/2024,02:25,Brooklyn,F,Driver Inattention/Distraction,Sedan
1000022,01/22/2024,02:32,Queens,NaN,Following Too Closely,SUV
1000023,01/23/2024,02:39,Manhattan,M,Unsafe Speed,Taxi
1000024,01/24/2024,02:46,Bronx,F,Failure to Yield Right-of-Way,Van
1000025,01/25/2024,02:53,Staten Island,M,Backing Unsafely,Pick-up Truck
1000026,01/26/2024,03:00,Brooklyn,NaN,Passing Too Closely,Box Truck
1000027,01/27/2024,03:07,Queens,F,Turning Improperly,Sedan
1000028,01/28/2024,03:14,Manhattan,M,Traffic Control Disregarded,Bus
1000029,01/01/2024,03:21,Bronx,NaN,Alcohol Involvement,SUV
1000030,01/02/2024,03:28,Staten Island,F,Fatigued/Drowsy,Motorcycle
1000031,02/01/2024,03:35,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000032,02/02/2024,03:42,Queens,F,Following Too Closely,SUV
1000033,02/03/2024,03:49,Manhattan,NaN,Unsafe Speed,Taxi
1000034,02/04/2024,03:56,Bronx,M,Failure to Yield Right-of-Way,Van
1000035,02/05/2024,04:03,Staten Island,F,Backing Unsafely,Pick-up Truck
1000036,02/06/2024,04:10,Brooklyn,M,Passing Too Closely,Box Truck
1000037,02/07/2024,04:17,Queens,NaN,Turning Improperly,Sedan
1000038,02/08/2024,04:24,Manhattan,F,Traffic Control Disregarded,Bus
1000039,02/09/2024,04:31,Bronx,M,Alcohol Involvement,SUV
1000040,02/10/2024,04:38,Staten Island,F,Fatigued/Drowsy,Motorcycle
1000041,02/11/2024,04:45,Brooklyn,NaN,Driver Inattention/Distraction,Sedan
1000042,02/12/2024,04:52,Queens,M,Following Too Closely,SUV
1000043,02/13/2024,04:59,Manhattan,F,Unsafe Speed,Taxi
1000044,02/14/2024,05:06,Bronx,M,Failure to Yield Right-of-Way,Van
1000045,02/15/2024,05:13,Staten Island,NaN,Backing Unsafely,Pick-up Truck
1000046,02/16/2024,05:20,Brooklyn,F,Passing Too Closely,Box Truck
1000047,02/17/2024,05:27,Queens,M,Turning Improperly,Sedan
1000048,02/18/2024,05:34,Manhattan,NaN,Traffic Control Disregarded,Bus
1000049,02/19/2024,05:41,Bronx,F,Alcohol Involvement,SUV
1000050,02/20/2024,05:48,Staten Island,M,Fatigued/Drowsy,Motorcycle
1000051,03/01/2024,05:55,Brooklyn,F,Driver Inattention/Distraction,Sedan
1000052,03/02/2024,06:02,Queens,NaN,Following Too Closely,SUV
1000053,03/03/2024,06:09,Manhattan,M,Unsafe Speed,Taxi
1000054,03/04/2024,06:16,Bronx,F,Failure to Yield Right-of-Way,Van
1000055,03/05/2024,06:23,Staten Island,M,Backing Unsafely,Pick-up Truck
1000056,03/06/2024,06:30,Brooklyn,NaN,Passing Too Closely,Box Truck
1000057,03/07/2024,06:37,Queens,F,Turning Improperly,Sedan
1000058,03/08/2024,06:44,Manhattan,M,Traffic Control Disregarded,Bus
