COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE
20240000001,12/14/2025,22:50,BROOKLYN,M,Alcohol Involvement,Sedan
20240000002,10/30/2024,09:03,MANHATTAN,M,Traffic Control Disregarded,Pick-up Truck
20240000003,02/28/2024,05:30,BROOKLYN,M,Aggressive Driving/Road Rage,Sedan
20240000004,06/04/2025,07:11,BROOKLYN,M,Driver Inattention/Distraction,Van
20240000005,02/17/2025,08:56,BROOKLYN,M,Traffic Control Disregarded,Sedan
20240000006,03/24/2024,12:37,BRONX,M,Failure to Yield Right-of-Way,Sedan
20240000007,11/16/2025,16:15,MANHATTAN,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
20240000008,04/13/2025,10:48,QUEENS,F,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
20240000009,07/30/2025,23:04,BROOKLYN,M,Unsafe Speed,Sedan
20240000010,12/23/2024,19:56,MANHATTAN,M,Failure to Yield Right-of-Way,SUV
20240000011,07/10/2025,16:39,BROOKLYN,F,Lost Consciousness,SUV
20240000012,11/14/2025,18:19,STATEN ISLAND,F,Driver Inattention/Distraction,Van
20240000013,09/27/2024,08:06,BROOKLYN,M,Driver Inattention/Distraction,Sedan
20240000014,08/03/2024,16:13,MANHATTAN,M,Aggressive Driving/Road Rage,SUV
20240000015,09/14/2024,20:54,MANHATTAN,M,Fatigued/Drowsy,Taxi
20240000016,02/15/2024,00:49,STATEN ISLAND,M,Other Vehicular,Sedan
20240000017,03/28/2025,13:27,STATEN ISLAND,M,Driver Inattention/Distraction,Motorcycle
20240000018,12/08/2025,20:34,BROOKLYN,M,Failure to Yield Right-of-Way,SUV
20240000019,03/16/2025,08:19,QUEENS,M,View Obstructed/Limited,Box Truck
20240000020,02/10/2024,20:13,QUEENS,M,Fatigued/Drowsy,Sedan
20240000021,07/27/2025,19:26,MANHATTAN,F,Prescription Medication,Motorcycle
20240000022,08/30/2024,19:51,BROOKLYN,F,Outside Car Distraction,Sedan
20240000023,12/06/2024,17:26,MANHATTAN,M,Outside Car Distraction,Taxi
20240000024,09/30/2024,08:44,BRONX,M,Outside Car Distraction,Van
20240000025,08/15/2024,09:58,QUEENS,M,Failure to Yield Right-of-Way,Taxi
20240000026,08/21/2024,09:42,QUEENS,M,Failure to Yield Right-of-Way,Van
20240000027,10/12/2024,11:32,BRONX,M,Following Too Closely,SUV
20240000028,01/29/2024,08:16,MANHATTAN,M,Other Vehicular,Sedan
20240000029,04/21/2024,14:22,BROOKLYN,M,Failure to Yield Right-of-Way,SUV
20240000030,06/07/2025,08:57,BROOKLYN,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
20240000031,01/02/2024,13:51,BRONX,M,Alcohol Involvement,Pick-up Truck
20240000032,11/17/2025,09:27,QUEENS,M,Fatigued/Drowsy,Sedan
20240000033,11/17/2024,15:07,MANHATTAN,M,Failure to Yield Right-of-Way,Sedan
20240000034,02/22/2025,10:44,BROOKLYN,M,Driver Inattention/Distraction,SUV
20240000035,01/23/2025,15:57,MANHATTAN,M,Traffic Control Disregarded,SUV
20240000036,01/01/2024,10:13,QUEENS,M,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
20240000037,04/21/2025,12:43,BRONX,M,Unsafe Speed,E-Bike
20240000038,06/22/2024,15:18,BROOKLYN,M,Fatigued/Drowsy,Sedan
20240000039,08/28/2024,15:14,QUEENS,F,Driver Inattention/Distraction,Sedan
20240000040,05/01/2025,14:49,BROOKLYN,M,Unsafe Speed,Station Wagon/Sport Utility Vehicle
20240000041,07/18/2024,16:24,BRONX,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
20240000042,01/06/2024,20:55,MANHATTAN,M,Driver Inattention/Distraction,SUV
20240000043,06/29/2024,18:44,BRONX,M,Driver Inattention/Distraction,Sedan
20240000044,05/04/2024,12:51,BROOKLYN,M,Traffic Control Disregarded,SUV
20240000045,11/20/2024,21:57,BRONX,M,Lost Consciousness,E-Bike
20240000046,03/12/2025,18:35,BROOKLYN,M,Driver Inattention/Distraction,Van
20240000047,04/05/2025,10:15,BRONX,F,Failure to Yield Right-of-Way,Pick-up Truck
20240000048,05/11/2025,14:17,QUEENS,M,Alcohol Involvement,Sedan
20240000049,12/09/2024,10:34,MANHATTAN,M,Driver Inattention/Distraction,SUV
20240000050,06/05/2024,16:04,BROOKLYN,M,Failure to Yield Right-of-Way,SUV
20240000051,03/04/2024,09:26,BROOKLYN,M,Prescription Medication,Motorcycle
20240000052,01/21/2024,19:48,BRONX,M,Unsafe Speed,Motorcycle
20240000053,11/01/2024,17:54,BROOKLYN,F,Aggressive Driving/Road Rage,SUV
20240000054,07/13/2025,18:57,MANHATTAN,M,Driver Inattention/Distraction,SUV
20240000055,01/30/2024,11:42,QUEENS,M,Failure to Yield Right-of-Way,Sedan
20240000056,04/23/2025,20:39,QUEENS,M,Passenger Distraction,SUV
20240000057,11/09/2025,02:41,QUEENS,M,Outside Car Distraction,Sedan
20240000058,09/23/2024,11:13,BROOKLYN,M,Failure to Yield Right-of-Way,Van
20240000059,10/11/2024,17:53,BRONX,M,Aggressive Driving/Road Rage,SUV
20240000060,07/06/2025,06:22,MANHATTAN,M,Driver Inattention/Distraction,Bus
20240000061,02/11/2024,17:15,MANHATTAN,M,Driver Inattention/Distraction,Sedan
20240000062,05/09/2024,12:07,MANHATTAN,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
20240000063,01/12/2025,08:38,BROOKLYN,F,Alcohol Involvement,Pick-up Truck
20240000064,06/16/2024,22:06,BRONX,M,View Obstructed/Limited,SUV
20240000065,01/19/2025,11:45,MANHATTAN,M,Traffic Control Disregarded,Taxi
20240000066,09/05/2024,07:49,MANHATTAN,M,Alcohol Involvement,Taxi
20240000067,08/02/2025,17:22,MANHATTAN,M,Fatigued/Drowsy,Sedan
20240000068,10/25/2025,11:54,QUEENS,M,Unsafe Speed,SUV
20240000069,01/05/2025,15:53,BROOKLYN,M,Driver Inattention/Distraction,Sedan
20240000070,06/18/2025,22:17,MANHATTAN,M,View Obstructed/Limited,Pick-up Truck
20240000071,04/21/2025,12:46,BROOKLYN,M,Failure to Yield Right-of-Way,Sedan
20240000072,03/29/2024,10:28,QUEENS,M,Unsafe Speed,SUV
20240000073,01/23/2025,11:31,BRONX,F,Driver Inattention/Distraction,Sedan
20240000074,09/21/2024,11:56,BRONX,M,Outside Car Distraction,SUV
20240000075,06/13/2025,21:05,MANHATTAN,M,Failure to Yield Right-of-Way,SUV
20240000076,09/03/2024,16:41,BROOKLYN,M,Unsafe Speed,Sedan
20240000077,10/28/2024,09:44,QUEENS,M,Fatigued/Drowsy,Sedan
20240000078,07/20/2025,13:27,BROOKLYN,F,Traffic Control Disregarded,Sedan
20240000079,04/09/2025,10:16,BRONX,M,Alcohol Involvement,Sedan
20240000080,07/02/2025,21:44,QUEENS,M,Driver Inattention/Distraction,SUV
20240000081,08/26/2025,22:33,BRONX,M,Other Vehicular,Taxi
20240000082,10/30/2024,09:11,QUEENS,M,Alcohol Involvement,Sedan
20240000083,02/16/2024,22:35,QUEENS,M,Turning Improperly,Station Wagon/Sport Utility Vehicle
20240000084,05/17/2025,07:00,MANHATTAN,M,Unsafe Speed,SUV
20240000085,07/07/2024,22:16,QUEENS,F,Unsafe Speed,Taxi
20240000086,02/14/2025,13:36,MANHATTAN,M,Driver Inattention/Distraction,Sedan
20240000087,07/30/2025,21:05,BROOKLYN,F,Driver Inattention/Distraction,Pick-up Truck
20240000088,09/12/2025,14:39,BRONX,M,Traffic Control Disregarded,SUV
20240000089,03/29/2025,10:37,STATEN ISLAND,F,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
20240000090,09/16/2025,22:06,BROOKLYN,F,Driver Inattention/Distraction,Sedan
20240000091,11/07/2025,07:15,QUEENS,M,Driver Inattention/Distraction,Sedan
20240000092,04/06/2025,16:30,BRONX,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
20240000093,12/20/2025,19:04,MANHATTAN,M,View Obstructed/Limited,Pick-up Truck
20240000094,10/02/2025,14:51,BROOKLYN,F,Unsafe Speed,SUV
20240000095,10/25/2025,08:17,BROOKLYN,F,Driver Inattention/Distraction,Sedan
20240000096,11/10/2024,14:52,QUEENS,M,Failure to Yield Right-of-Way,Sedan
20240000097,12/06/2025,10:25,BROOKLYN,F,Unsafe Speed,SUV
20240000098,03/23/2024,14:56,MANHATTAN,M,Failure to Yield Right-of-Way,Sedan
20240000099,04/03/2024,09:43,BROOKLYN,F,Traffic Control Disregarded,Bus
20240000100,11/19/2025,18:36,QUEENS,M,Prescription Medication,SUV
20240000101,10/29/2025,12:17,BROOKLYN,M,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
20240000102,05/18/2025,22:30,MANHATTAN,M,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
20240000103,06/13/2024,11:44,MANHATTAN,M,Fatigued/Drowsy,SUV
20240000104,07/17/2025,04:05,MANHATTAN,M,Failure to Yield Right-of-Way,Box Truck
20240000105,02/17/2025,19:52,BROOKLYN,F,Fatigued/Drowsy,SUV
20240000106,02/27/2025,06:33,QUEENS,M,Prescription Medication,Station Wagon/Sport Utility Vehicle
20240000107,02/22/2024,09:35,BROOKLYN,M,Failure to Yield Right-of-Way,Van
20240000108,05/11/2025,08:40,BROOKLYN,M,Driver Inattention/Distraction,Sedan
20240000109,07/18/2025,00:26,BROOKLYN,M,Following Too Closely,E-Bike
20240000110,04/17/2025,21:41,BROOKLYN,F,Unsafe Speed,Station Wagon/Sport Utility Vehicle
20240000111,06/05/2025,16:26,BROOKLYN,F,Other Vehicular,Sedan
20240000112,07/18/2025,08:12,QUEENS,F,Unsafe Speed,Van
20240000113,03/12/2024,10:50,MANHATTAN,F,Failure to Yield Right-of-Way,Pick-up Truck
20240000114,09/30/2024,18:18,MANHATTAN,M,Aggressive Driving/Road Rage,SUV
20240000115,11/06/2025,13:09,QUEENS,M,Unsafe Speed,Sedan
20240000116,07/10/2025,11:59,BRONX,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
20240000117,08/08/2025,11:54,MANHATTAN,M,Driver Inattention/Distraction,Pick-up Truck
20240000118,12/23/2025,20:24,BROOKLYN,M,Fatigued/Drowsy,Taxi
20240000119,06/04/2024,13:02,MANHATTAN,M,Other Vehicular,Sedan
20240000120,04/12/2024,19:28,BRONX,M,Passenger Distraction,Sedan
20240000121,05/27/2024,12:41,QUEENS,F,Driver Inattention/Distraction,Pick-up Truck
20240000122,09/28/2024,11:44,BROOKLYN,M,Driver Inattention/Distraction,Sedan
20240000123,11/21/2025,19:24,QUEENS,F,Fatigued/Drowsy,Van
20240000124,05/14/2025,19:02,BROOKLYN,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
20240000125,10/21/2024,23:47,BRONX,M,Other Vehicular,Pick-up Truck
20240000126,12/21/2025,19:28,BROOKLYN,M,Failure to Yield Right-of-Way,Sedan
20240000127,11/28/2024,17:18,BROOKLYN,M,Unsafe Speed,Sedan
20240000128,02/25/2025,14:50,BROOKLYN,M,Driver Inattention/Distraction,SUV
20240000129,01/26/2025,14:15,BROOKLYN,M,Traffic Control Disregarded,Sedan
20240000130,10/15/2025,10:16,QUEENS,M,Passenger Distraction,SUV
20240000131,10/21/2024,15:10,MANHATTAN,M,Turning Improperly,Box Truck
20240000132,11/02/2024,15:27,BROOKLYN,M,Unsafe Speed,Sedan
20240000133,01/28/2025,19:06,STATEN ISLAND,M,Traffic Control Disregarded,SUV
20240000134,12/17/2025,10:53,BROOKLYN,M,Failure to Yield Right-of-Way,SUV
20240000135,12/03/2025,17:03,BRONX,F,Prescription Medication,Taxi
20240000136,10/20/2024,17:14,BRONX,M,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
20240000137,09/27/2025,10:48,MANHATTAN,M,Fatigued/Drowsy,Taxi
20240000138,10/05/2025,07:40,BROOKLYN,M,Failure to Yield Right-of-Way,SUV
20240000139,08/16/2025,11:08,QUEENS,M,Failure to Yield Right-of-Way,Pick-up Truck
20240000140,06/28/2024,09:50,BROOKLYN,M,Other Vehicular,SUV
20240000141,10/06/2024,18:16,BRONX,F,Turning Improperly,Bus
20240000142,10/29/2024,17:21,BROOKLYN,F,Unsafe Speed,Sedan
20240000143,08/19/2024,19:46,BROOKLYN,M,Failure to Yield Right-of-Way,Taxi
20240000144,07/24/2025,11:50,QUEENS,M,Driver Inattention/Distraction,Sedan
20240000145,01/12/2025,15:43,BROOKLYN,M,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
20240000146,01/15/2025,07:14,QUEENS,M,Fatigued/Drowsy,Motorcycle
20240000147,12/01/2024,20:14,BRONX,M,Fatigued/Drowsy,SUV
20240000148,12/18/2025,10:26,BROOKLYN,M,Driver Inattention/Distraction,Sedan
20240000149,05/19/2025,08:15,MANHATTAN,F,Driver Inattention/Distraction,SUV
20240000150,11/17/2025,21:44,QUEENS,F,Unsafe Speed,Pick-up Truck
20250000001,06/07/2024,19:41,BRONX,M,Unsafe Speed,SUV
20250000002,10/13/2024,03:23,BROOKLYN,M,Unsafe Speed,Sedan
20250000003,01/06/2025,07:43,MANHATTAN,M,Passenger Distraction,Station Wagon/Sport Utility Vehicle
20250000004,03/03/2024,11:12,BROOKLYN,F,Turning Improperly,Taxi
20250000005,04/03/2024,15:41,MANHATTAN,M,Other Vehicular,Sedan
20250000006,12/07/2024,09:08,QUEENS,F,Driver Inattention/Distraction,Taxi
20250000007,07/21/2025,09:13,BROOKLYN,F,Driver Inattention/Distraction,Pick-up Truck
20250000008,09/02/2025,00:54,BROOKLYN,F,Following Too Closely,SUV
20250000009,06/27/2024,07:55,QUEENS,M,Driver Inattention/Distraction,Pick-up Truck
20250000010,08/31/2024,14:01,BROOKLYN,M,Driver Inattention/Distraction,Pick-up Truck
20250000011,06/22/2025,07:04,BRONX,M,Lost Consciousness,SUV
20250000012,04/21/2024,12:14,BRONX,F,Driver Inattention/Distraction,Pick-up Truck
20250000013,11/05/2025,13:29,QUEENS,M,Driver Inattention/Distraction,E-Scooter
20250000014,02/15/2025,12:06,BRONX,M,Passenger Distraction,Sedan
20250000015,03/23/2024,10:09,BROOKLYN,M,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
20250000016,07/15/2025,16:24,MANHATTAN,F,Traffic Control Disregarded,SUV
20250000017,09/11/2025,12:50,QUEENS,M,Aggressive Driving/Road Rage,Station Wagon/Sport Utility Vehicle
20250000018,07/18/2025,16:13,QUEENS,M,Passenger Distraction,SUV
20250000019,04/09/2025,11:46,BRONX,M,Unsafe Speed,Station Wagon/Sport Utility Vehicle
20250000020,01/18/2025,22:43,QUEENS,F,Driver Inattention/Distraction,Taxi
20250000021,04/05/2024,12:47,BROOKLYN,M,Lost Consciousness,SUV
20250000022,08/23/2025,22:35,BROOKLYN,M,Driver Inattention/Distraction,Sedan
20250000023,11/12/2025,21:27,STATEN ISLAND,F,Alcohol Involvement,Bus
20250000024,09/06/2025,10:06,BROOKLYN,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
20250000025,08/17/2024,19:22,QUEENS,F,Failure to Yield Right-of-Way,Pick-up Truck
20250000026,08/10/2025,09:27,QUEENS,F,Other Vehicular,Taxi
20250000027,09/20/2025,15:35,MANHATTAN,M,View Obstructed/Limited,Taxi
20250000028,09/30/2024,02:17,MANHATTAN,M,Failure to Yield Right-of-Way,Sedan
20250000029,01/07/2024,09:09,BROOKLYN,M,Failure to Yield Right-of-Way,Sedan
20250000030,10/10/2025,22:05,MANHATTAN,M,Driver Inattention/Distraction,SUV
20250000031,12/15/2024,08:19,QUEENS,M,Lost Consciousness,SUV
20250000032,03/27/2024,19:09,QUEENS,M,Fatigued/Drowsy,Station Wagon/Sport Utility Vehicle
20250000033,10/05/2024,12:27,QUEENS,M,Unsafe Speed,Sedan
20250000034,06/08/2025,07:27,MANHATTAN,M,Alcohol Involvement,SUV
20250000035,06/23/2025,15:02,QUEENS,M,Following Too Closely,Sedan
20250000036,07/28/2024,10:13,QUEENS,F,Prescription Medication,Sedan
20250000037,05/02/2024,00:47,BRONX,M,Driver Inattention/Distraction,SUV
20250000038,08/23/2024,13:53,BROOKLYN,M,Failure to Yield Right-of-Way,SUV
20250000039,02/13/2024,12:29,BROOKLYN,F,Outside Car Distraction,SUV
20250000040,08/10/2025,11:40,BROOKLYN,M,Driver Inattention/Distraction,Sedan
20250000041,11/28/2024,08:39,QUEENS,M,Alcohol Involvement,Sedan
20250000042,03/23/2025,18:15,QUEENS,M,Failure to Yield Right-of-Way,Sedan
20250000043,11/13/2024,16:14,BRONX,M,Driver Inattention/Distraction,SUV
20250000044,04/26/2024,13:12,QUEENS,F,Failure to Yield Right-of-Way,Pick-up Truck
20250000045,10/22/2025,18:15,QUEENS,M,Driver Inattention/Distraction,Sedan
20250000046,06/05/2024,17:41,MANHATTAN,M,Turning Improperly,Station Wagon/Sport Utility Vehicle
20250000047,04/20/2025,17:48,MANHATTAN,M,Alcohol Involvement,Van
20250000048,10/20/2025,15:39,BRONX,M,Other Vehicular,Sedan
20250000049,03/26/2025,06:28,QUEENS,M,Lost Consciousness,SUV
20250000050,12/26/2024,13:19,BROOKLYN,M,Driver Inattention/Distraction,Sedan
20250000051,10/20/2024,07:55,BRONX,F,Driver Inattention/Distraction,SUV
20250000052,01/28/2025,12:35,BRONX,F,Prescription Medication,Sedan
20250000053,08/08/2025,15:20,BROOKLYN,M,Unsafe Speed,Bus
20250000054,04/06/2025,07:57,BROOKLYN,F,Following Too Closely,Sedan
