COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
470001,01/12/2024,08:15,Brooklyn,M,Driver Inattention/Distraction,Sedan
470002,01/15/2024,17:30,Queens,F,Failure to Yield Right-of-Way,SUV
470003,01/20/2024,23:10,Manhattan,M,Unsafe Speed,Sedan
470004,02/05/2024,14:20,Bronx,M,Following Too Closely,Pick-up Truck
470005,02/14/2024,19:45,Staten Island,F,Pavement Slippery,SUV
470006,03/02/2024,07:50,Brooklyn,NaN,Backing Unsafely,Sedan
470007,03/18/2024,12:00,Manhattan,F,Driver Inattention/Distraction,Taxi
470008,04/10/2024,16:35,Queens,M,Passing or Lane Usage Improper,Sedan
470009,04/25/2024,21:20,Brooklyn,M,Alcohol Involvement,SUV
470010,05/03/2024,09:10,Bronx,F,Traffic Control Disregarded,Sedan
470011,05/19/2024,15:55,Manhattan,M,Driver Inattention/Distraction,Sedan
470012,06/07/2024,18:40,Queens,NaN,Unsafe Lane Changing,SUV
470013,06/22/2024,02:15,Brooklyn,M,Unsafe Speed,Sedan
470014,07/11/2024,11:30,Staten Island,M,Failure to Yield Right-of-Way,Pick-up Truck
470015,07/29/2024,14:50,Manhattan,F,Driver Inattention/Distraction,Sedan
470016,08/14/2024,17:15,Queens,M,Following Too Closely,SUV
470017,08/30/2024,08:05,Bronx,F,Backing Unsafely,Sedan
470018,09/12/2024,20:40,Brooklyn,M,Passing Too Closely,Sedan
470019,09/27/2024,13:25,Manhattan,NaN,Driver Inattention/Distraction,Box Truck
470020,10/05/2024,16:10,Queens,F,Failure to Yield Right-of-Way,SUV
470021,10/21/2024,22:00,Brooklyn,M,Unsafe Speed,Sedan
470022,11/08/2024,07:45,Bronx,M,Following Too Closely,Sedan
470023,11/23/2024,18:20,Staten Island,F,Driver Inattention/Distraction,SUV
470024,12/10/2024,11:15,Manhattan,M,Turning Improperly,Sedan
470025,12/25/2024,01:30,Queens,M,Alcohol Involvement,Sedan
470026,01/05/2025,08:50,Brooklyn,F,Driver Inattention/Distraction,SUV
