COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
4700001,01/05/2024,08:30,Manhattan,M,Driver Inattention/Distraction,Sedan
4700002,01/12/2024,17:45,Brooklyn,F,Failure to Yield Right-of-Way,SUV
4700003,01/20/2024,23:15,Queens,M,Alcohol Involvement,Sedan
4700004,02/03/2024,14:20,Bronx,F,Following Too Closely,Sedan
4700005,02/15/2024,09:10,Staten Island,M,Unsafe Speed,Pick-up Truck
4700006,03/01/2024,12:00,Manhattan,NaN,Backing Unsafely,Taxi
4700007,03/22/2024,18:30,Brooklyn,M,Passing Too Closely,Sedan
4700008,04/05/2024,07:50,Queens,F,Driver Inattention/Distraction,SUV
4700009,04/18/2024,16:40,Manhattan,M,Traffic Control Disregarded,Sedan
4700010,05/10/2024,21:15,Bronx,M,Unsafe Lane Changing,SUV
4700011,05/28/2024,11:25,Brooklyn,NaN,Pavement Slippery,Sedan
4700012,06/14/2024,15:50,Queens,F,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
4700013,06/30/2024,02:10,Manhattan,M,Unsafe Speed,Sedan
4700014,07/12/2024,13:45,Staten Island,F,Failure to Yield Right-of-Way,SUV
4700015,07/25/2024,19:20,Brooklyn,M,Following Too Closely,Sedan
4700016,08/08/2024,08:15,Queens,F,Driver Inexperience,Sedan
4700017,08/21/2024,17:10,Bronx,M,Aggressive Driving/Road Rage,Sedan
4700018,09/05/2024,10:30,Manhattan,NaN,Turning Improperly,Box Truck
4700019,09/19/2024,14:55,Brooklyn,F,Driver Inattention/Distraction,SUV
4700020,10/02/2024,16:20,Queens,M,Failure to Yield Right-of-Way,Pick-up Truck
4700021,10/18/2024,22:40,Bronx,M,Alcohol Involvement,Sedan
4700022,11/04/2024,07:20,Manhattan,F,Driver Inattention/Distraction,Sedan
4700023,11/20/2024,18:05,Brooklyn,M,Unsafe Speed,SUV
4700024,12/03/2024,12:50,Queens,NaN,Reaction to Uninvolved Vehicle,Sedan
