COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
4729101,01/05/2024,14:20,BROOKLYN,M,Driver Inattention/Distraction,Sedan
4729102,01/12/2024,08:45,QUEENS,F,Failure to Yield Right-of-Way,SUV
4729103,01/20/2024,23:15,MANHATTAN,M,Alcohol Involvement,Taxi
4729104,02/03/2024,17:30,BRONX,NaN,Unsafe Speed,Sedan
4729105,02/14/2024,09:10,STATEN ISLAND,F,Following Too Closely,SUV
4729106,02/28/2024,12:05,BROOKLYN,M,Backing Unsafely,Pick-up Truck
4729107,03/05/2024,19:40,QUEENS,M,Passing or Lane Usage Improper,Sedan
4729108,03/18/2024,07:55,MANHATTAN,F,Driver Inattention/Distraction,SUV
4729109,04/02/2024,16:20,BRONX,M,Traffic Control Disregarded,Sedan
4729110,04/15/2024,21:00,BROOKLYN,NaN,Unsafe Speed,SUV
4729111,04/29/2024,11:30,QUEENS,F,Fatigued/Drowsy,Sedan
4729112,05/10/2024,08:15,MANHATTAN,M,Driver Inattention/Distraction,Bus
4729113,05/22/2024,15:45,STATEN ISLAND,M,Failure to Yield Right-of-Way,SUV
4729114,06/04/2024,13:25,BROOKLYN,F,Backing Unsafely,Sedan
4729115,06/17/2024,18:50,QUEENS,M,Turning Improperly,Pick-up Truck
4729116,07/01/2024,02:10,MANHATTAN,M,Alcohol Involvement,Sedan
4729117,07/14/2024,10:35,BRONX,F,Driver Inattention/Distraction,SUV
4729118,07/28/2024,17:15,BROOKLYN,M,Following Too Closely,Sedan
4729119,08/09/2024,07:40,QUEENS,NaN,Unsafe Speed,SUV
4729120,08/23/2024,14:55,MANHATTAN,F,Driver Inattention/Distraction,Sedan
4729121,09/05/2024,11:20,STATEN ISLAND,M,Pavement Slippery,SUV
4729122,09/19/2024,16:40,BROOKLYN,F,Failure to Yield Right-of-Way,Sedan
4729123,10/02/2024,08:05,QUEENS,M,Driver Inattention/Distraction,Sedan
4729124,10/16/2024,19:25,MANHATTAN,M,Traffic Control Disregarded,SUV
4729125,11/01/2024,22:50,BRONX,M,Alcohol Involvement,Sedan
4729126,11/14/2024,07:30,BROOKLYN,F,Following Too Closely,SUV
4729127,11/28/2024,12:15,QUEENS,M,Backing Unsafely,Box Truck
4729128,12/05/2024,15:10,MANHATTAN,NaN,Driver Inattention/Distraction,Sedan
4729129,12/19/2024,18:35,BRONX,F,Failure to Yield Right-of-Way,SUV
4729130,12/31/2024,23:55,BROOKLYN,M,Unsafe Speed,Sedan
4729131,01/08/2025,09:40,QUEENS,F,Driver Inattention/Distraction,SUV
4729132,01/22/2025,13:20,MANHATTAN,M,Turning Improperly,Sedan
4729133,02/04/2025,07:50,STATEN ISLAND,M,Pavement Slippery,Pick-up Truck
4729134,02/18/2025,16:15,BROOKLYN,F,Following Too Closely,Sedan
4729135,03/03/2025,11:05,BRONX,NaN,Driver Inattention/Distraction,SUV
4729136,03/17/2025,19:45,QUEENS,M,Traffic Control Disregarded,Sedan
4729137,04/01/2025,08:30,MANHATTAN,F,Failure to Yield Right-of-Way,SUV
4729138,04/14/2025,15:55,BROOKLYN,M,Backing Unsafely,Sedan
4729139,05/02/2025,12:40,QUEENS,M,Driver Inattention/Distraction,Pick-up Truck
4729140,05/15/2025,20:20,BRONX,F,Unsafe Speed,Sedan
4729141,06/01/2025,07:15,MANHATTAN,M,Driver Inattention/Distraction,Sedan
4729142,06/14/2025,17:50,BROOKLYN,F,Following Too Closely,SUV
4729143,06/28/2025,14:10,QUEENS,M,Passing or Lane Usage Improper,Sedan
4729144,07/11/2025,21:30,MANHATTAN,M,Alcohol Involvement,Convertible
4729145,07/25/2025,09:05,STATEN ISLAND,NaN,Driver Inattention/Distraction,SUV
4729146,08/08/2025,16:45,BRONX,F,Failure to Yield Right-of-Way,Sedan
4729147,08/22/2025,11:25,BROOKLYN,M,Backing Unsafely,Sedan
4729148,09/05/2025,18:15,QUEENS,F,Driver Inattention/Distraction,SUV
4729149,09/19/2025,08:50,MANHATTAN,M,Traffic Control Disregarded,Taxi
4729150,10/03/2025,14:00,BROOKLYN,M,Following Too Closely,Sedan
4729151,10/17/2025,12:10,BRONX,F,Driver Inattention/Distraction,SUV
4729152,10/31/2025,22:45,QUEENS,M,Alcohol Involvement,Sedan
4729153,11/14/2025,07:20,MANHATTAN,F,Failure to Yield Right-of-Way,SUV
4729154,11/28/2025,15:35,BROOKLYN,M,Backing Unsafely,Sedan
4729155,12/12/2025,08:55,QUEENS,NaN,Driver Inattention/Distraction,SUV
4729156,12/26/2025,19:10,BRONX,M,Unsafe Speed,Pick-up Truck
4729157,01/02/2024,07:45,BROOKLYN,F,Following Too Closely,Sedan
4729158,01/09/2024,13:10,MANHATTAN,M,Traffic Control Disregarded,Taxi
4729159,01/16/2024,18:30,QUEENS,F,Driver Inattention/Distraction,SUV
4729160,01/23/2024,09:20,BRONX,M,Failure to Yield Right-of-Way,Sedan
4729161,01/30/2024,14:50,STATEN ISLAND,M,Backing Unsafely,SUV
4729162,02/06/2024,08:15,BROOKLYN,NaN,Following Too Closely,Sedan
4729163,02/13/2024,16:40,QUEENS,F,Driver Inattention/Distraction,SUV
4729164,02/20/2024,21:10,MANHATTAN,M,Unsafe Speed,Sedan
4729165,02/27/2024,11:55,BRONX,M,Turning Improperly,Sedan
4729166,03/06/2024,07:30,BROOKLYN,F,Failure to Yield Right-of-Way,SUV
4729167,03/13/2024,14:15,QUEENS,M,Driver Inattention/Distraction,Pick-up Truck
4729168,03/20/2024,18:45,MANHATTAN,M,Traffic Control Disregarded,Sedan
4729169,03/27/2024,10:05,BRONX,F,Following Too Closely,SUV
4729170,04/03/2024,15:25,BROOKLYN,NaN,Backing Unsafely,Sedan
4729171,04/10/2024,08:50,QUEENS,M,Driver Inattention/Distraction,SUV
4729172,04/17/2024,12:40,MANHATTAN,F,Failure to Yield Right-of-Way,Sedan
4729173,04/24/2024,20:00,STATEN ISLAND,M,Unsafe Speed,SUV
4729174,05/01/2024,09:15,BROOKLYN,F,Following Too Closely,Sedan
4729175,05/08/2024,14:35,QUEENS,M,Driver Inattention/Distraction,SUV
4729176,05/15/2024,18:20,MANHATTAN,NaN,Traffic Control Disregarded,Taxi
4729177,05/22/2024,11:10,BRONX,M,Failure to Yield Right-of-Way,Sedan
4729178,05/29/2024,07:45,BROOKLYN,F,Backing Unsafely,SUV
4729179,06/05/2024,16:30,QUEENS,M,Driver Inattention/Distraction,Sedan
4729180,06/12/2024,21:55,MANHATTAN,F,Alcohol Involvement,Sedan
4729181,06/19/2024,12:20,BRONX,M,Turning Improperly,SUV
4729182,06/26/2024,08:05,STATEN ISLAND,NaN,Following Too Closely,Pick-up Truck
