ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-05,Black,M,BATTERY
2,2024-01-07,White,F,THEFT
3,2024-01-08,Black,M,NARCOTICS
4,2024-01-09,Hispanic,M,ASSAULT
5,2024-01-10,Black,F,RETAIL THEFT
6,2024-01-12,Black,M,BATTERY
7,2024-01-14,White,M,CRIMINAL TRESPASS
8,2024-01-15,Hispanic,F,POSSESSION OF CANNABIS
9,2024-01-16,Black,M,DOMESTIC BATTERY
10,2024-01-18,Black,F,THEFT
11,2024-01-20,Hispanic,M,AGGRAVATED ASSAULT
12,2024-01-21,Black,M,NARCOTICS
13,2024-01-23,White,M,DRIVING UNDER INFLUENCE
14,2024-01-25,Black,F,BURGLARY
15,2024-01-26,Hispanic,M,BATTERY
16,2024-01-28,Black,M,ROBBERY
17,2024-01-30,Black,M,THEFT
18,2024-02-02,Hispanic,F,NARCOTICS
19,2024-02-04,Black,M,WEAPONS VIOLATION
20,2024-02-05,White,M,CRIMINAL DAMAGE
21,2024-02-07,Black,F,RETAIL THEFT
22,2024-02-09,Hispanic,M,ASSAULT
23,2024-02-10,Black,M,BATTERY
24,2024-02-12,Black,M,NARCOTICS
25,2024-02-14,White,F,THEFT FROM AUTO
26,2024-02-15,Hispanic,M,DOMESTIC BATTERY
27,2024-02-17,Black,M,AGGRAVATED BATTERY
28,2024-02-19,Black,F,POSSESSION OF CONTROLLED SUBSTANCE
29,2024-02-20,Hispanic,M,CRIMINAL TRESPASS
30,2024-02-22,Black,M,ROBBERY
31,2024-02-24,White,M,DRIVING UNDER INFLUENCE
32,2024-02-26,Black,F,BURGLARY
33,2024-02-27,Hispanic,M,NARCOTICS
34,2024-03-01,Black,M,BATTERY
35,2024-03-03,Black,M,THEFT
36,2024-03-05,White,F,CRIMINAL DAMAGE
37,2024-03-06,Hispanic,M,WEAPONS VIOLATION
38,2024-03-08,Black,M,ASSAULT
39,2024-03-10,Black,F,RETAIL THEFT
40,2024-03-11,Hispanic,M,NARCOTICS
41,2024-03-13,Black,M,DOMESTIC BATTERY
42,2024-03-15,White,M,THEFT
43,2024-03-16,Black,F,AGGRAVATED ASSAULT
44,2024-03-18,Hispanic,M,BATTERY
45,2024-03-20,Black,M,ROBBERY
46,2024-03-22,Black,M,NARCOTICS
47,2024-03-24,White,F,CRIMINAL TRESPASS
48,2024-03-25,Hispanic,M,POSSESSION OF CANNABIS
49,2024-03-27,Black,M,WEAPONS VIOLATION
50,2024-03-29,Black,F,THEFT FROM AUTO
51,2024-03-30,Hispanic,M,BURGLARY
52,2024-04-01,Black,M,BATTERY
53,2024-04-03,White,M,DRIVING UNDER INFLUENCE
54,2024-04-04,Black,F,NARCOTICS
55,2024-04-06,Hispanic,M,ASSAULT
56,2024-04-08,Black,M,RETAIL THEFT
57,2024-04-09,Black,M,DOMESTIC BATTERY
58,2024-04-11,White,F,CRIMINAL DAMAGE
59,2024-04-12,Hispanic,M,AGGRAVATED BATTERY
60,2024-04-14,Black,M,THEFT
61,2024-04-16,Black,F,ROBBERY
62,2024-04-17,Hispanic,M,NARCOTICS
