COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE
10001,2024-03-12,14:30,BROOKLYN,M,Driver Inattention/Distraction,Sedan
10002,2024-05-15,08:45,QUEENS,M,Failure to Yield Right-of-Way,SUV
10003,2024-01-20,23:10,MANHATTAN,M,Following Too Closely,Taxi
10004,2025-02-11,17:20,BRONX,F,Unsafe Speed,Sedan
10005,2024-11-30,12:05,BROOKLYN,F,Backing Unsafely,SUV
10006,2025-07-04,19:45,STATEN ISLAND,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
10007,2024-08-19,07:15,QUEENS,F,Passing or Lane Usage Improper,Sedan
10008,2024-04-22,16:40,MANHATTAN,M,Driver Inattention/Distraction,E-Bike
10009,2025-10-05,21:30,BROOKLYN,M,Alcohol Involvement,Sedan
10010,2024-06-14,09:55,BRONX,M,Unsafe Lane Changing,Pick-up Truck
10011,2025-01-02,11:20,MANHATTAN,M,Driver Inattention/Distraction,Sedan
10012,2024-12-25,02:15,QUEENS,M,Aggressive Driving/Road Rage,SUV
10013,2025-03-30,15:50,BROOKLYN,M,Pavement Slippery,Sedan
10014,2024-09-12,18:10,STATEN ISLAND,F,Driver Inattention/Distraction,SUV
10015,2025-05-20,08:00,BROOKLYN,M,Failure to Yield Right-of-Way,E-Scooter
10016,2024-02-28,13:25,QUEENS,M,Passing Too Closely,Sedan
10017,2025-08-14,14:40,MANHATTAN,F,Driver Inattention/Distraction,Sedan
10018,2024-07-07,10:15,BRONX,M,Turning Improperly,Box Truck
10019,2025-11-18,17:55,BROOKLYN,M,Driver Inattention/Distraction,SUV
10020,2024-10-10,12:45,QUEENS,F,Backing Unsafely,Sedan
10021,2025-04-05,20:20,MANHATTAN,M,Traffic Control Disregarded,Taxi
10022,2024-01-15,06:30,BROOKLYN,M,Driver Inattention/Distraction,Sedan
10023,2025-06-22,11:10,QUEENS,M,Unsafe Speed,Motorcycle
10024,2024-03-08,19:00,BRONX,M,Failure to Yield Right-of-Way,SUV
10025,2025-09-14,08:40,BROOKLYN,F,Driver Inattention/Distraction,Sedan
10026,2024-05-27,22:50,MANHATTAN,M,Alcohol Involvement,Sedan
10027,2025-12-01,16:15,STATEN ISLAND,M,Following Too Closely,SUV
10028,2024-11-12,14:05,QUEENS,M,Driver Inattention/Distraction,Sedan
10029,2025-02-20,07:50,BROOKLYN,M,Pavement Slippery,Bus
10030,2024-08-30,13:10,MANHATTAN,M,Driver Inattention/Distraction,E-Bike
10031,2025-05-01,18:35,QUEENS,F,Failure to Yield Right-of-Way,SUV
10032,2024-04-10,09:20,BRONX,F,Backing Unsafely,Sedan
10033,2025-03-15,15:00,BROOKLYN,M,Unsafe Lane Changing,SUV
10034,2024-12-10,21:45,MANHATTAN,M,Driver Inattention/Distraction,Taxi
10035,2025-07-19,12:30,QUEENS,M,Following Too Closely,Sedan
10036,2024-06-05,17:10,BROOKLYN,M,Driver Inattention/Distraction,SUV
10037,2025-10-22,08:50,BRONX,M,Passing or Lane Usage Improper,Sedan
10038,2024-02-14,14:20,STATEN ISLAND,F,Driver Inattention/Distraction,SUV
10039,2025-01-30,11:05,MANHATTAN,M,Turning Improperly,Sedan
10040,2024-09-25,19:40,BROOKLYN,F,Unsafe Speed,Sedan
10041,2025-04-12,07:15,QUEENS,M,Driver Inattention/Distraction,SUV
10042,2024-07-15,16:55,BROOKLYN,M,Failure to Yield Right-of-Way,Sedan
10043,2025-08-01,23:30,MANHATTAN,M,Alcohol Involvement,Sedan
10044,2024-05-09,10:40,QUEENS,F,Backing Unsafely,SUV
10045,2025-11-05,14:15,BRONX,M,Driver Inattention/Distraction,Sedan
10046,2024-03-22,12:00,BROOKLYN,M,Following Too Closely,Pick-up Truck
10047,2025-06-10,18:25,QUEENS,M,Unsafe Lane Changing,Sedan
10048,2024-10-18,08:10,MANHATTAN,F,Driver Inattention/Distraction,Sedan
10049,2025-09-30,20:50,BROOKLYN,M,Traffic Control Disregarded,SUV
10050,2024-11-20,15:35,STATEN ISLAND,M,Driver Inattention/Distraction,Sedan
10051,2024-03-25,10:15,BROOKLYN,M,Failure to Yield Right-of-Way,Sedan
10052,2025-01-10,08:30,QUEENS,M,Driver Inattention/Distraction,SUV
10053,2024-06-12,19:45,MANHATTAN,M,Following Too Closely,Taxi
10054,2025-05-18,17:20,BRONX,M,Unsafe Speed,Sedan
10055,2024-09-02,12:05,BROOKLYN,F,Backing Unsafely,SUV
10056,2025-10-14,11:55,QUEENS,M,Driver Inattention/Distraction,Sedan
10057,2024-12-05,22:10,MANHATTAN,M,Alcohol Involvement,Sedan
10058,2025-02-28,14:40,BROOKLYN,M,Passing or Lane Usage Improper,Sedan
10059,2024-07-20,09:15,QUEENS,F,Driver Inattention/Distraction,SUV
10060,2025-04-15,16:35,MANHATTAN,M,Failure to Yield Right-of-Way,Sedan
10061,2024-02-10,12:20,BROOKLYN,M,Unsafe Lane Changing,SUV
10062,2025-08-25,20:50,BRONX,M,Traffic Control Disregarded,Sedan
10063,2024-05-30,07:15,QUEENS,M,Driver Inattention/Distraction,Sedan
10064,2025-11-12,18:40,BROOKLYN,M,Following Too Closely,SUV
10065,2024-01-05,15:30,MANHATTAN,M,Driver Inattention/Distraction,Taxi
10066,2025-06-14,08:50,BROOKLYN,F,Backing Unsafely,Sedan
10067,2024-04-18,13:10,STATEN ISLAND,F,Driver Inattention/Distraction,SUV
10068,2025-09-05,21:45,QUEENS,M,Unsafe Speed,Sedan
10069,2024-10-22,10:40,MANHATTAN,M,Turning Improperly,Sedan
10070,2025-03-12,07:50,BROOKLYN,M,Failure to Yield Right-of-Way,E-Bike
10071,2024-08-01,16:15,QUEENS,F,Driver Inattention/Distraction,Sedan
10072,2025-12-20,12:30,BRONX,M,Following Too Closely,SUV
10073,2024-11-15,19:25,BROOKLYN,M,Pavement Slippery,Sedan
10074,2025-07-10,09:55,MANHATTAN,M,Driver Inattention/Distraction,Sedan
10075,2024-02-25,14:15,QUEENS,M,Unsafe Lane Changing,SUV
10076,2025-01-05,08:10,BROOKLYN,M,Failure to Yield Right-of-Way,Sedan
10077,2024-06-30,17:40,STATEN ISLAND,M,Driver Inattention/Distraction,Sedan
10078,2025-05-22,11:05,MANHATTAN,M,Following Too Closely,Taxi
10079,2024-09-18,20:20,BROOKLYN,F,Unsafe Speed,SUV
10080,2025-10-10,12:45,QUEENS,M,Driver Inattention/Distraction,Sedan
10081,2024-12-12,07:15,MANHATTAN,M,Turning Improperly,Sedan
10082,2025-04-30,16:55,BRONX,F,Driver Inattention/Distraction,Sedan
10083,2024-03-15,09:20,BROOKLYN,M,Following Too Closely,SUV
10084,2025-08-05,23:30,QUEENS,M,Alcohol Involvement,Sedan
10085,2024-05-10,14:15,BROOKLYN,M,Driver Inattention/Distraction,Sedan
10086,2025-11-20,18:25,MANHATTAN,M,Failure to Yield Right-of-Way,Taxi
10087,2024-01-25,10:40,QUEENS,F,Backing Unsafely,SUV
10088,2025-06-30,08:10,BROOKLYN,M,Unsafe Lane Changing,Sedan
10089,2024-04-05,20:50,BRONX,M,Traffic Control Disregarded,Sedan
10090,2025-09-12,15:35,BROOKLYN,M,Driver Inattention/Distraction,SUV
10091,2024-08-22,07:15,MANHATTAN,M,Following Too Closely,Sedan
10092,2025-12-15,16:15,QUEENS,M,Driver Inattention/Distraction,Sedan
10093,2024-11-05,13:10,BROOKLYN,F,Backing Unsafely,SUV
10094,2025-07-25,18:35,STATEN ISLAND,M,Unsafe Speed,Sedan
10095,2024-02-14,09:20,MANHATTAN,M,Driver Inattention/Distraction,Taxi
10096,2025-03-20,15:00,BROOKLYN,M,Following Too Closely,Sedan
10097,2024-10-12,21:45,QUEENS,M,Driver Inattention/Distraction,SUV
10098,2025-05-05,12:30,BRONX,M,Turning Improperly,Sedan
10099,2024-06-25,17:10,BROOKLYN,M,Driver Inattention/Distraction,Sedan
10100,2025-01-15,08:50,MANHATTAN,F,Failure to Yield Right-of-Way,Sedan
10101,2024-03-20,11:30,BROOKLYN,M,Driver Inattention/Distraction,Sedan
10102,2025-05-10,09:15,QUEENS,M,Following Too Closely,SUV
10103,2024-07-12,22:45,MANHATTAN,M,Alcohol Involvement,Taxi
10104,2025-02-14,18:20,BRONX,M,Unsafe Speed,Sedan
10105,2024-11-18,13:05,BROOKLYN,F,Backing Unsafely,SUV
10106,2025-08-22,07:55,QUEENS,M,Driver Inattention/Distraction,Sedan
10107,2024-12-01,15:40,MANHATTAN,M,Turning Improperly,Sedan
